state_id,drug,n_samples,spearman_rho,p_value,q_value
A2_L1_0,SR9011,266,-0.1376,0.024798547240622908,0.17975775672606475
A1_L1_6,Lenvatinib,343,-0.1376,0.010749207043438697,0.11238631310171994
A3_L1_13,BI-2536,110,-0.1376,0.15162746021471693,0.471459505181166
A1_L1_5,SR9011,266,-0.1375,0.024927079556615103,0.18032149824714433
A1_L1_1,Go6976,85,-0.1373,0.2102969502334589,0.5465705919122306
A0_L1_11,PI-103,452,-0.137,0.003521365813904935,0.05223078479954689
A1_L1_8,GSK-2879552,84,-0.1369,0.2143464557509428,0.5523474753349316
A1_L1_10,Lenalidomide,265,-0.1366,0.026131891882035737,0.1856619612170548
A0_L1_6,Panobinostat,286,-0.1365,0.020892577270476564,0.16273112949366167
A0_L1_8,Tofacitinib (CP-690550),458,-0.1364,0.0034349945983414305,0.051691666285720556
A1_L1_2,Olaparib,148,-0.1362,0.09873513962893918,0.3828519958525821
A0_L1_11,SNS-032 (BMS-387032),458,-0.1362,0.003500901737033243,0.052144992462035716
A2_L1_0,Birinapant,86,-0.1361,0.21157565673236892,0.5486278008116635
A0_L1_9,Nilotinib,472,-0.136,0.0030774552384698075,0.04818050994901639
A0_L1_4,GW-2580,440,-0.1359,0.004288836314925066,0.06029656497173561
A1_L1_8,Nutlin 3a,323,-0.1359,0.014531680645313098,0.1303249764621294
A2_L1_4,Foretinib (XL880),453,-0.1359,0.0037519131493079943,0.0546053087457971
A1_L1_7,PH-797804,45,-0.1358,0.3736207439319378,0.7019541249630347
A0_L1_4,Dasatinib,493,-0.1354,0.0025973348482082642,0.042880376175830195
A0_L1_4,PLX-4720,88,-0.1348,0.21057745712220632,0.5469544340836527
A3_L1_7,XMD 8-87,45,-0.1347,0.37784546470036895,0.7034803341335114
A0_L1_9,Cediranib (AZD2171),454,-0.1346,0.004060153410088913,0.05800219157269875
A1_L1_14,JNK Inhibitor II,82,-0.1346,0.22792338797000353,0.567064608914134
A0_L1_6,NVP-AEW541,44,-0.1345,0.3841926407943236,0.7091289524322959
