state_id,drug,n_samples,spearman_rho,p_value,q_value
A1_L1_4,Dasatinib,493,-0.0604,0.18092336682000967,0.5064220651395305
A2_L1_9,YM-155,459,-0.0604,0.19622027416070142,0.5301505230558307
A1_L1_4,S31-201,403,-0.0604,0.22619593604733124,0.5655700338928867
A1_L1_14,PHT-427,448,-0.0603,0.20273882329672432,0.5374137219231389
A3_L1_13,TG101348,85,-0.0602,0.5842250799462809,0.8378893119747726
A1_L1_15,RAF265 (CHIR-265),450,-0.0601,0.20315508789874384,0.5374137219231389
A1_L1_8,CHIR-99021,457,-0.0601,0.19942293146651244,0.533689313609072
A1_L1_6,Vismodegib (GDC-0449),457,-0.0601,0.2000519886593505,0.5343913527307079
A1_L1_5,JNJ-7706621,457,-0.06,0.20058143413273646,0.5352629709373076
A1_L1_7,Linifanib (ABT-869),453,-0.06,0.20219499099114469,0.5368774921392279
A0_L1_9,PP2,85,-0.06,0.5852072823353283,0.8385892538067791
A3_L1_9,Alisertib (MLN8237),459,-0.0599,0.20023502650065317,0.5346499415607449
A1_L1_1,Selumetinib (AZD6244),456,-0.0599,0.201740590731064,0.5363301296457704
A3_L1_7,OTX-015,292,-0.0598,0.3084917408434293,0.6455913896795773
A3_L1_10,Lapatinib,464,-0.0598,0.19866709142861247,0.5323181507452538
A3_L1_7,Tofacitinib (CP-690550),458,-0.0598,0.20180283315480269,0.5363301296457704
A1_L1_6,Artemisinin,196,-0.0598,0.40536141353327415,0.7242768772064264
A0_L1_11,Vatalanib (PTK787),452,-0.0597,0.20504432812140072,0.5391326693607653
A3_L1_9,AT-101,85,-0.0597,0.5875324359205873,0.8397935021002835
A2_L1_9,PP242,458,-0.0597,0.2021259259103348,0.5368774921392279
A3_L1_0,ABT-737,236,-0.0596,0.3618757193269886,0.6889158722256098
A3_L1_7,Masitinib (AB-1010),448,-0.0595,0.20861057215568887,0.543896361381527
A1_L1_2,Vemurafenib (PLX-4032),358,-0.0595,0.261292732493311,0.6009002074445862
A2_L1_7,XAV-939,270,-0.0595,0.32975967038355336,0.6660662213186036
A2_L1_0,Trametinib (GSK1120212),484,-0.0595,0.19148298233864416,0.5237210970771328
A1_basin_edge_0,Afatinib (BIBW-2992),459,-0.0595,0.2035043023517774,0.5374137219231389
A2_L1_3,SNS-032 (BMS-387032),458,-0.0595,0.2037835642575306,0.5374137219231389
A0_L1_11,Go6976,85,-0.0595,0.5883294753440798,0.8397935021002835
A2_L1_9,Lapatinib,464,-0.0595,0.20072361410149034,0.5352629709373076
A1_L1_10,NVP-TAE684,451,-0.0594,0.20793731356368228,0.5438469969283443
A1_L1_10,AGI-6780,297,-0.0594,0.30751436630595974,0.6447468895718041
A2_L1_12,A-674563,461,-0.0593,0.20389828641215377,0.5374137219231389
A1_L1_1,Artemisinin,196,-0.0593,0.40893112390785746,0.7270532718746309
A3_L1_0,Artemisinin,196,-0.0593,0.4091392100521307,0.7270532718746309
A1_L1_6,NVP-AEW541,44,-0.0592,0.7026862971320631,0.8931404183040521
A0_L1_4,Volasertib (BI-6727),349,-0.0591,0.2710922553183235,0.6114121436790126
A3_L1_10,NF-kB Activation Inhibitor,441,-0.0591,0.21538774956472417,0.5536501025295564
A0_L1_4,NVP-AEW541,44,-0.0591,0.7033617720715124,0.8931404183040521
A2_L1_3,JNJ-28312141,316,-0.0591,0.2946959529100088,0.6353270934297576
A0_L1_11,MGCD-265,448,-0.0589,0.21316386845500926,0.5508192151838398
A1_L1_2,Tozasertib (VX-680),458,-0.0587,0.2095644947229439,0.5453265880290366
A2_L1_3,p38 MAP Kinase Inhibitor,85,-0.0586,0.5943536481039644,0.8422165091865281
A1_L1_7,AT7519,446,-0.0586,0.21688376049185104,0.5568030290059944
A2_L1_3,S31-201,403,-0.0585,0.24127729753097304,0.5835641912225296
A2_L1_3,Ibrutinib (PCI-32765),438,-0.0585,0.22162630777940615,0.5615378456200728
A0_L1_13,GSK-1838705A,453,-0.0585,0.21360672818581966,0.5511284705585027
A0_L1_11,H-89,413,-0.0584,0.23610805644175267,0.5770082577606884
A1_L1_0,INK-128,458,-0.0583,0.2132377219098277,0.5508192151838398
A3_L1_8,Idelalisib,444,-0.0582,0.2209344321628107,0.5611607863209448
A1_L1_13,AZD1480,456,-0.0582,0.21517343093939867,0.5533286071440364
A0_L1_4,GSK-1904529A,452,-0.0581,0.21781230607961352,0.5571612307936235
A0_L1_13,SGX-523,453,-0.0581,0.21721994697078814,0.5571033455320585
A1_L1_16,Cabozantinib,450,-0.058,0.21913468852265877,0.5588790904321203
A3_L1_13,SB-203580,85,-0.0579,0.5988571623368615,0.843463311290636
A2_L1_3,Saracatinib (AZD0530),450,-0.0579,0.2202098799288168,0.5609290285779228
A0_L1_4,Vatalanib (PTK787),452,-0.0578,0.21968855515955363,0.5600612837126778
A3_L1_1,ABT-737,236,-0.0578,0.37693827151822,0.7032853696698658
A3_L1_5,JQ1,348,-0.0578,0.28231145665138846,0.6246155013764562
A3_L1_3,Vemurafenib (PLX-4032),358,-0.0577,0.27664816338273496,0.6192124956581071
A2_L1_0,AGI-5198,299,-0.0577,0.3199516830917091,0.6555520274846651
A3_L1_7,VX-745,457,-0.0577,0.21815973374982117,0.5571612307936235
A0_L1_11,INK-128,458,-0.0577,0.2179052247384177,0.5571612307936235
A1_L1_10,Birinapant,86,-0.0577,0.5974147891126989,0.8432455648461595
A2_L1_3,OTX-015,292,-0.0577,0.32555309968835533,0.6620504611534938
A0_L1_11,Imatinib,505,-0.0576,0.1959608072795719,0.5300859533740602
A0_L1_11,17-AAG (Tanespimycin),449,-0.0575,0.22424281971005736,0.5651648301635591
A0_L1_11,Tivozanib (AV-951),448,-0.0575,0.2244791553922386,0.5653362512418035
A1_L1_4,MLN120B,453,-0.0575,0.2216231263522958,0.5615378456200728
A2_L1_0,AMPK Inhibitor,85,-0.0574,0.6016896855895967,0.8443811794150067
A0_L1_13,Lapatinib,464,-0.0574,0.21742389180339353,0.5571033455320585
A2_L1_4,Masitinib (AB-1010),448,-0.0574,0.22510564223685767,0.5655700338928867
A1_L1_2,Ibrutinib (PCI-32765),438,-0.0574,0.23095238443011964,0.5695604373760077
A3_L1_1,Venetoclax,367,-0.0574,0.2729655710565861,0.6131835291850847
A3_L1_1,MK-2206,448,-0.0572,0.22722406643522644,0.5662537912624919
A0_L1_4,Pazopanib (GW786034),467,-0.0572,0.21745001551412607,0.5571033455320585
A1_L1_10,TG100-115,451,-0.0571,0.22597944467883277,0.5655700338928867
A1_L1_4,Go6976,85,-0.057,0.6045584122415569,0.846682212762063
A1_basin_edge_0,JNJ-38877605,454,-0.057,0.22581572188117552,0.5655700338928867
A0_L1_11,Saracatinib (AZD0530),450,-0.0569,0.22841992388192991,0.5673892340015887
A1_L1_10,NVP-ADW742,444,-0.0569,0.231565994624122,0.5697258597895065
A1_L1_7,AGI-6780,297,-0.0569,0.3287829743737162,0.6657125481807333
A2_L1_4,Lestaurtinib (CEP-701),84,-0.0568,0.6075673798968908,0.8485202344538253
A1_basin_edge_0,RAF265 (CHIR-265),450,-0.0568,0.22883823506886672,0.5675188229707895
A1_L1_16,Baiclein,45,-0.0568,0.7108757949504512,0.8967492919471105
A0_L1_4,XAV-939,270,-0.0567,0.35374093193018674,0.6842839908458695
A3_L1_9,Ponatinib (AP24534),301,-0.0567,0.32668760612691805,0.6632164891902069
A1_L1_7,GDC-0941,424,-0.0567,0.24389216023254148,0.5876919523675699
A0_L1_8,Entrectinib,215,-0.0566,0.4087890251474203,0.7270532718746309
A2_L1_4,JNJ-7706621,457,-0.0565,0.22839382649380374,0.5673892340015887
A1_L1_8,Vemurafenib (PLX-4032),358,-0.0564,0.2874208929102626,0.6290412307245421
A0_L1_11,Dovitinib (CHIR-258),455,-0.0564,0.23007632098386066,0.5682362830917181
A1_L1_10,Artemisinin,196,-0.0564,0.43249252909262537,0.7443261432811643
A1_L1_5,Indisulam,117,-0.0564,0.5457975415330878,0.8164012771248083
A2_L1_12,Vargetef,452,-0.0564,0.2310877954999359,0.5695604373760077
A3_L1_9,AMPK Inhibitor,85,-0.0564,0.6080393044801071,0.8485202344538253
A1_L1_3,Staurosporine,89,-0.0564,0.5995886948674422,0.8440936453522571
A1_L1_7,Tozasertib (VX-680),458,-0.0563,0.22883494559317744,0.5675188229707895
A0_L1_4,Selinexor,241,-0.0563,0.38396803411621205,0.7091289524322959
A2_L1_9,Venetoclax,367,-0.0562,0.2831575889168445,0.6250325992365781
A0_L1_13,SU11274,402,-0.0562,0.2609286060471031,0.6008872319300971
A1_L1_1,Motesanib (AMG-706),450,-0.0561,0.23523807689202916,0.5764098586488188
A1_L1_8,Azacytidine,367,-0.0561,0.2839528577815013,0.6258470381248873
A3_L1_8,INK-128,458,-0.056,0.2314068938306715,0.5695604373760077
A2_L1_0,Gilteritinib,278,-0.056,0.3521664289834555,0.6841745256560913
A2_L1_3,SU11274,402,-0.0559,0.2637187112956705,0.6037262370824009
A2_L1_4,Alisertib (MLN8237),459,-0.0559,0.23189750352681043,0.5700890253236418
A2_L1_9,KU-55933,453,-0.0559,0.23537011826857243,0.5764098586488188
A2_L1_9,Lenvatinib,343,-0.0557,0.3032526847669704,0.6419015442052244
A3_L1_1,NVP-AEW541,44,-0.0557,0.7196398053709625,0.8998489633177436
A1_L1_16,Lestaurtinib (CEP-701),84,-0.0556,0.6154063559416683,0.8527282325064977
A2_L1_4,Bay 11-7085,343,-0.0556,0.30419985346570577,0.6428084678439301
A0_L1_6,Etomoxir,44,-0.0556,0.7197897668895467,0.8998489633177436
A1_L1_2,Indisulam,117,-0.0555,0.5526017643581972,0.81984468509711
A1_L1_13,Birinapant,86,-0.0554,0.6122956097292285,0.8517461925782402
A3_L1_7,Nilotinib,472,-0.0554,0.22930040797721948,0.5675402689285071
A3_L1_3,Idelalisib,444,-0.0554,0.2438435924495202,0.5876919523675699
A1_L1_10,TG101348,85,-0.0554,0.6146989713765025,0.8526631884270788
A2_L1_0,XMD 8-87,45,-0.0553,0.7180725164159238,0.8996217244606848
A1_L1_12,Entrectinib,215,-0.0553,0.4199165152886154,0.7359644995795367
A0_L1_13,Roscovitine (CYC-202),462,-0.0553,0.23539834872561438,0.5764098586488188
A0_L1_11,GDC-0941,424,-0.0552,0.25677693072708524,0.5987796087467663
A0_L1_2,GW-2580,440,-0.0552,0.24762245186583004,0.5891247895503247
A1_L1_2,JNJ-28312141,316,-0.0551,0.32888347339961066,0.6657125481807333
A1_L1_2,AT7519,446,-0.0551,0.24529394688631007,0.5888140234063517
A0_L1_11,Midostaurin,462,-0.055,0.23778847119074628,0.5794272729457538
A3_L1_9,JAK Inhibitor I,448,-0.0549,0.2458142084553411,0.5890413278957513
A1_L1_14,Motesanib (AMG-706),450,-0.0549,0.24549745975893855,0.5888140234063517
A2_L1_12,XAV-939,270,-0.0549,0.3690754054270876,0.697395305108519
A0_L1_4,Lenvatinib,343,-0.0548,0.31139931144270655,0.6474432363999935
A0_L1_13,AGI-6780,297,-0.0547,0.34736133213995757,0.6793817852579612
A3_L1_9,AZD1152-HQPA (AZD2811),455,-0.0547,0.24429827238531093,0.5880473417426682
A1_L1_5,A-674563,461,-0.0547,0.24102907269784546,0.5835641912225296
A0_L1_9,Bortezomib (Velcade),463,-0.0546,0.24128787586355058,0.5835641912225296
A1_L1_2,TG101348,85,-0.0545,0.6201670262572927,0.8563553591971524
A1_L1_14,SNS-032 (BMS-387032),458,-0.0545,0.24403097532749513,0.5877979980693355
A1_L1_14,Lapatinib,464,-0.0545,0.24097739359099477,0.5835641912225296
A2_L1_0,GSK690693,447,-0.0544,0.2514783937690751,0.5953287672272873
A0_L1_11,Tandutinib (MLN518),83,-0.0543,0.6259941719568156,0.8580382645517362
A2_L1_12,Alisertib (MLN8237),459,-0.0541,0.24759578585469058,0.5891247895503247
A2_L1_4,DBZ,366,-0.0541,0.30173580899258057,0.6405198345846859
A1_L1_5,Erlotinib,485,-0.054,0.23517306372507327,0.5764098586488188
A1_L1_5,Gilteritinib,278,-0.054,0.3701466281980115,0.6980829027361796
A0_L1_11,Idelalisib,444,-0.054,0.2564225887778306,0.5987796087467663
A1_L1_3,Cediranib (AZD2171),454,-0.054,0.2508757584978292,0.5945832196813995
A1_L1_0,PI-103,452,-0.0539,0.25298466782041473,0.597070780543042
A1_L1_1,BEZ235,449,-0.0538,0.2549258803183443,0.5982363580521327
A2_L1_12,CHIR-99021,457,-0.0538,0.25124464865617824,0.5952299662469641
A0_L1_2,Bosutinib (SKI-606),456,-0.0538,0.2518710951117937,0.5958034298714692
A3_L1_7,Pazopanib (GW786034),467,-0.0537,0.24679064090959615,0.5890413278957513
A1_L1_4,TG101348,85,-0.0537,0.6251973557826245,0.8579512186481345
A2_L1_12,Gefitinib,466,-0.0537,0.24710132176200542,0.5890413278957513
A1_L1_6,CHIR-99021,457,-0.0537,0.25228754891500044,0.5963335124944731
A2_L1_3,CI-1040 (PD184352),461,-0.0536,0.2507001411314028,0.594394216066806
A2_L1_9,Lenalidomide,265,-0.0536,0.3846198995696838,0.7091289524322959
A3_L1_7,Flavopiridol,451,-0.0536,0.25607403735610496,0.5987796087467663
A0_L1_2,PI-103,452,-0.0535,0.25645294177784717,0.5987796087467663
A0_L1_4,GSK-1838705A,453,-0.0535,0.2560534276962928,0.5987796087467663
A1_L1_3,SB-203580,85,-0.0535,0.6267030690566558,0.8580382645517362
A1_L1_3,BMS-754807,41,-0.0534,0.7402015324802215,0.9089422660680082
A1_L1_8,Ponatinib (AP24534),301,-0.0534,0.35588623442561396,0.6854596624538076
A3_L1_7,Ruxolitinib (INCB018424),449,-0.0534,0.2590702208876761,0.5991688899460718
A3_L1_9,Cabozantinib,450,-0.0533,0.25944091403781605,0.5993046449457747
A0_L1_4,Lapatinib,464,-0.0533,0.2521203471810336,0.5961655806721619
A1_L1_0,Doramapimod (BIRB 796),454,-0.0533,0.2572545748132318,0.5990768643492856
A0_L1_11,Perhexiline maleate,37,-0.0533,0.7538423762522583,0.9157077171845561
A1_L1_0,BMS-345541,462,-0.0531,0.25461937560169,0.5979697457312417
A2_L1_0,PP242,458,-0.0531,0.25655085675200023,0.5987796087467663
A0_L1_2,Olaparib,148,-0.0531,0.5214824408607546,0.8030777777786086
A2_L1_12,CYT387,455,-0.0531,0.25818200448362255,0.5991688899460718
A3_L1_3,DBZ,366,-0.053,0.311709429297294,0.647870754825083
A2_L1_0,SGX-523,453,-0.0529,0.2607453431113534,0.6007510692271985
A0_L1_11,Bosutinib (SKI-606),456,-0.0528,0.2601763775477024,0.6005420668131043
A1_L1_16,Staurosporine,89,-0.0528,0.6228489253511147,0.8568558446321831
A1_L1_10,Gefitinib,466,-0.0527,0.2557967858002211,0.5987796087467663
A1_L1_14,SGX-523,453,-0.0526,0.2638867907247268,0.6037262370824009
A3_L1_1,Cytarabine,329,-0.0525,0.3423872334058079,0.6749679103408269
A3_L1_9,Cytarabine,329,-0.0524,0.34302131213715537,0.6752145686608426
A0_L1_8,GSK690693,447,-0.0524,0.26851592859069834,0.6090162668882783
A1_L1_8,Regorafenib (BAY 73-4506),450,-0.0524,0.26753611638563274,0.6077606613182756
A1_L1_2,AZD1152-HQPA (AZD2811),455,-0.0524,0.26434746305560664,0.6041114157555331
A2_L1_0,Roscovitine (CYC-202),462,-0.0524,0.2609982767077018,0.6008872319300971
A1_L1_12,PD173955,453,-0.0524,0.2653250432172672,0.6050074541916354
A0_L1_4,PRT062607,447,-0.0524,0.2686592430626555,0.6090264376557456
A1_L1_3,JAK Inhibitor I,448,-0.0522,0.2702399561728659,0.6106004840640556
A0_L1_11,Tozasertib (VX-680),458,-0.0522,0.26456480304531393,0.6043853275169294
A1_L1_2,BI-2536,110,-0.0521,0.588864190201855,0.8397935021002835
A3_L1_7,MK-2206,448,-0.0521,0.27153410859153543,0.6117410876698837
A0_L1_9,SB-202190,85,-0.052,0.636705110169424,0.863045842380942
A2_L1_4,Etomoxir,44,-0.052,0.7375999274173046,0.9077672299660443
A1_basin_edge_0,NVP-AEW541,44,-0.0519,0.7379216274797591,0.9078141266046911
A1_L1_7,Trametinib (GSK1120212),484,-0.0519,0.25425903936548455,0.5978286372328818
A3_L1_7,Bosutinib (SKI-606),456,-0.0518,0.26968256226806697,0.6101751365266301
A1_L1_10,Dovitinib (CHIR-258),455,-0.0518,0.2705681218426487,0.6109390702733508
A1_L1_1,Vatalanib (PTK787),452,-0.0517,0.272458453827897,0.6127257885088545
A2_L1_0,AZD1152-HQPA (AZD2811),455,-0.0517,0.270685423554983,0.6109390702733508
A1_L1_9,Vemurafenib (PLX-4032),358,-0.0517,0.3293459397170453,0.6659963555921986
A1_L1_10,GDC-0879,456,-0.0516,0.27192173819826276,0.6122646298097731
A1_L1_7,Rapamycin,466,-0.0516,0.266520795912647,0.6064267541400565
A1_L1_16,MGCD-265,448,-0.0515,0.2764538341616788,0.6190010010120652
A1_L1_9,VX-745,457,-0.0515,0.272158335154441,0.6124797379156204
A1_L1_7,CYT387,455,-0.0514,0.27362812829021177,0.6142861706726578
A1_L1_5,LY-333531,415,-0.0514,0.2959940492825169,0.635909435308831
A3_L1_13,p38 MAP Kinase Inhibitor,85,-0.0513,0.6412784281469417,0.8667813940508041
A1_basin_edge_0,LY-333531,415,-0.0513,0.2969964114866181,0.6361803930470085
A3_L1_9,Vandetanib (ZD6474),481,-0.0513,0.2613475046656119,0.6009002074445862
A1_L1_6,AKT Inhibitor IV,83,-0.0512,0.645847261858993,0.869544630515908
A1_L1_13,VX-745,457,-0.0512,0.27463653401216254,0.6158384402854035
A1_L1_1,Staurosporine,89,-0.0511,0.6346745518432919,0.8623673507403923
A0_L1_11,Sorafenib,494,-0.0511,0.25688830377739896,0.5987796087467663
A1_basin_edge_0,Palbociclib,295,-0.0509,0.3834147297496596,0.7091289524322959
A3_L1_9,Regorafenib (BAY 73-4506),450,-0.0509,0.2817458900923141,0.6242799203741655
A1_L1_2,MLN120B,453,-0.0509,0.27951979189582676,0.622717466674138
A1_L1_2,NVP-TAE684,451,-0.0508,0.28183217695601437,0.6242799203741655
A1_L1_8,Staurosporine,89,-0.0507,0.6369927816546737,0.8632470483626178
A3_L1_3,Regorafenib (BAY 73-4506),450,-0.0507,0.2827734950384063,0.6248024480534994
A1_L1_13,Lovastatin,134,-0.0507,0.5604782540363562,0.8231976956425645
A3_L1_9,Pelitinib (EKB-569),452,-0.0507,0.28242191274819933,0.6246155013764562
A1_L1_4,Selumetinib (AZD6244),456,-0.0507,0.280038215979724,0.6227727737672613
A2_L1_7,Staurosporine,89,-0.0507,0.6372192789581722,0.8633652818052159
A0_L1_11,AGI-5198,299,-0.0506,0.3832928733379479,0.7091289524322959
A3_L1_3,Vatalanib (PTK787),452,-0.0506,0.2832809038475459,0.6250325992365781
A1_L1_0,Masitinib (AB-1010),448,-0.0506,0.28500923477582263,0.6270607720404898
A3_L1_5,LY294002,86,-0.0506,0.6434948504195093,0.8682629102504804
A2_L1_9,Vandetanib (ZD6474),481,-0.0505,0.2692191551110656,0.609849748516115
A2_L1_12,GSK-1838705A,453,-0.0505,0.283153450913902,0.6250325992365781
A1_L1_12,Pelitinib (EKB-569),452,-0.0504,0.28491835643814906,0.6270607720404898
A2_L1_0,Lenalidomide,265,-0.0503,0.41448773933389804,0.7319350566420302
A0_L1_8,p38 MAP Kinase Inhibitor,85,-0.0503,0.6476602918009726,0.8698706441724755
A1_L1_16,Olaparib,148,-0.0503,0.5440709602111279,0.81479225925338
A1_L1_12,Ibrutinib (PCI-32765),438,-0.0503,0.2939867361272579,0.6344301301736857
A3_L1_1,Panobinostat,286,-0.0503,0.3962832301293018,0.7190731676717509
A3_L1_13,PP242,458,-0.0502,0.2834023080802803,0.6250780185335246
A3_L1_13,H-89,413,-0.0502,0.3086250445322273,0.6455913896795773
A3_L1_3,CHIR-99021,457,-0.0502,0.28449756490304207,0.6266020967669133
A1_L1_7,Lestaurtinib (CEP-701),84,-0.0502,0.6502821720886657,0.8701240146545017
A1_L1_3,PP2,85,-0.0501,0.649060614008484,0.8701240146545017
A2_L1_12,YM-155,459,-0.0501,0.2841761181720413,0.6261165361288756
A0_L1_4,Sunitinib,488,-0.0501,0.2696736121374985,0.6101751365266301
A0_L1_4,JNJ-38877605,454,-0.0501,0.28714921239273666,0.6290412307245421
A2_L1_3,Entospletinib (GS-9973),313,-0.0501,0.3770795020316785,0.703337217989292
A3_L1_3,Roscovitine (CYC-202),462,-0.05,0.28384254534321746,0.625826380201973
A3_L1_10,AMPK Inhibitor,85,-0.05,0.6493229209830307,0.8701240146545017
A0_L1_11,Foretinib (XL880),453,-0.05,0.2884792978218364,0.6306670121633942
A1_L1_2,CYT387,455,-0.0499,0.28864465155638386,0.6308060767182164
A3_L1_13,Flavopiridol,451,-0.0499,0.2905181156436736,0.6327160635552465
A0_L1_9,XMD 8-87,45,-0.0498,0.745268137789874,0.9123332238483535
A1_L1_0,SNS-032 (BMS-387032),458,-0.0498,0.2873527361765265,0.6290412307245421
A1_L1_14,Flavopiridol,451,-0.0497,0.29261691788336985,0.634122646234496
A3_L1_3,Lenalidomide,265,-0.0496,0.42172201723302183,0.7367069384643345
A2_L1_7,Venetoclax,367,-0.0496,0.34305256310994425,0.6752145686608426
A1_L1_9,Ruxolitinib (INCB018424),449,-0.0496,0.29383480155911806,0.6344301301736857
A3_L1_7,Imatinib,505,-0.0495,0.2665343395212345,0.6064267541400565
A2_L1_3,KN92,85,-0.0495,0.6528440832811129,0.8715834014519594
A3_L1_5,GSK-1904529A,452,-0.0495,0.2937124101855418,0.6344301301736857
A2_L1_0,Lenvatinib,343,-0.0495,0.3611457706119918,0.6889158722256098
A2_L1_0,BMS-754807,41,-0.0495,0.7586806570326926,0.9174748988244767
A1_L1_13,YM-155,459,-0.0494,0.2913925811754535,0.6333301010949075
A1_L1_3,Elesclomol,431,-0.0494,0.30636200147477205,0.6444755224036811
A2_L1_0,JAK Inhibitor I,448,-0.0493,0.29752325060144946,0.6361803930470085
A1_L1_13,Motesanib (AMG-706),450,-0.0493,0.29660405336240436,0.6361274871295947
A1_L1_10,MLN8054,452,-0.0493,0.2955856090561692,0.6358688335684411
A1_L1_0,BI-2536,110,-0.0493,0.6089419751529014,0.8489858884524373
A1_basin_edge_0,TG100-115,451,-0.0493,0.29578156709861037,0.6358688335684411
A3_L1_0,MLN8054,452,-0.0492,0.29623675217167456,0.6359653266843429
A1_L1_6,Midostaurin,462,-0.0492,0.29174044656888,0.6333301010949075
A1_L1_2,AGI-5198,299,-0.0491,0.39751585268868683,0.7193954853104684
A1_L1_13,H-89,413,-0.0491,0.3192865203604492,0.6555458378364211
A1_L1_1,KW-2449,449,-0.049,0.3006020710158026,0.6395788745017077
A1_L1_16,Sorafenib,494,-0.0488,0.27890662997665344,0.6222458099515118
A1_L1_8,Tozasertib (VX-680),458,-0.0488,0.29688635438800565,0.6361803930470085
A1_L1_9,BMS-345541,462,-0.0488,0.29552894426309584,0.6358688335684411
A0_L1_2,PP242,458,-0.0487,0.2980429308824889,0.6365104837171643
A1_L1_0,Tofacitinib (CP-690550),458,-0.0487,0.2986509865833262,0.6369234651601846
A3_L1_8,Crenolanib,446,-0.0487,0.30450459194477786,0.6428084678439301
A1_L1_1,TG101348,85,-0.0487,0.6583048756169096,0.8740408869067168
A2_L1_3,ABT-737,236,-0.0487,0.456393522641118,0.7592272177018867
A1_L1_5,STO609,415,-0.0485,0.32452841584847925,0.6616495160343872
A1_L1_14,Bortezomib (Velcade),463,-0.0484,0.29823596051586493,0.6365104837171643
A3_L1_8,BEZ235,449,-0.0483,0.3073500796844801,0.6447468895718041
A1_L1_1,Cediranib (AZD2171),454,-0.0483,0.3043908158931722,0.6428084678439301
A2_L1_12,NVP-TAE684,451,-0.0483,0.30568729381934906,0.644427481020049
A3_L1_13,JNK Inhibitor II,82,-0.0482,0.6669408293457195,0.877143087796818
A1_L1_16,S31-201,403,-0.0482,0.3343798028641065,0.6688377597159121
A0_L1_13,PD173955,453,-0.0482,0.30615997087420505,0.6444755224036811
A1_L1_13,KN92,85,-0.0481,0.6618453288843007,0.8756149982219336
A1_L1_13,Selumetinib (AZD6244),456,-0.048,0.3063966429719724,0.6444755224036811
A3_L1_13,Volasertib (BI-6727),349,-0.0478,0.3733382568018755,0.7016360085394446
A1_L1_8,GSK690693,447,-0.0478,0.31282455466995374,0.6484494279350429
A2_L1_9,PH-797804,45,-0.0478,0.7550575511768401,0.9158709328355122
A1_L1_6,Crizotinib (PF-2341066),470,-0.0477,0.3020503111787773,0.6405204179078875
A1_L1_3,Birinapant,86,-0.0476,0.6633046152576352,0.8756149982219336
A2_L1_0,Gefitinib,466,-0.0476,0.3052538884316478,0.6439346030022496
A1_L1_9,Doramapimod (BIRB 796),454,-0.0475,0.31276172214652626,0.6484494279350429
A3_L1_0,H-89,413,-0.0475,0.3351503576229494,0.6690876952392891
A1_L1_12,Selumetinib (AZD6244),456,-0.0474,0.31267431399146556,0.6484494279350429
A1_L1_7,PP242,458,-0.0473,0.31274407048085495,0.6484494279350429
A1_L1_10,Sunitinib,488,-0.0473,0.29733822317092196,0.6361803930470085
A1_L1_5,PD173955,453,-0.0472,0.31660877129694365,0.6541067584275411
A3_L1_4,Bortezomib (Velcade),463,-0.0472,0.3104822376886285,0.646856724768277
A1_L1_10,AT-101,85,-0.0471,0.6684200933511135,0.8781955030254087
A1_L1_2,H-89,413,-0.0471,0.3399609356642762,0.6731899716124281
A1_L1_2,Lapatinib,464,-0.0471,0.3109303599764043,0.6471392674726051
A3_L1_1,RAF265 (CHIR-265),450,-0.047,0.319513280743373,0.6555475076190598
A3_L1_13,Canertinib (CI-1033),455,-0.0468,0.3193142629461277,0.6555458378364211
A3_L1_3,AT-101,85,-0.0468,0.6706340814389482,0.8793149892318455
A1_L1_3,JNJ-7706621,457,-0.0468,0.31775578799131077,0.6551665731779603
A3_L1_13,Roscovitine (CYC-202),462,-0.0468,0.31505304437258413,0.6513267339479899
A3_L1_13,Selinexor,241,-0.0467,0.4703051930571124,0.7695440573527839
A1_L1_15,JNJ-38877605,454,-0.0467,0.3208191852452957,0.6571123054247879
A0_L1_6,Motesanib (AMG-706),450,-0.0467,0.32284584034822195,0.6593030995253544
A0_L1_4,Vismodegib (GDC-0449),457,-0.0467,0.3195265432298062,0.6555475076190598
A2_L1_9,S31-201,403,-0.0466,0.35091453376354975,0.6830989354266903
A1_L1_8,DBZ,366,-0.0466,0.3744662257118535,0.7020186507050291
A3_L1_5,OTX-015,292,-0.0466,0.4271939355082536,0.7407040077569597
A1_L1_14,MLN120B,453,-0.0465,0.3238996965995916,0.6610197889787585
A1_L1_7,KN93,86,-0.0464,0.6715331577313973,0.8798480899721177
A0_L1_4,Trametinib (GSK1120212),484,-0.0464,0.3081285523741288,0.6454044002431076
A1_L1_1,Ibrutinib (PCI-32765),438,-0.0464,0.33270202056320863,0.6674724843812632
A0_L1_9,TG100-115,451,-0.0464,0.3254041709616705,0.6620504611534938
A1_L1_12,AGI-5198,299,-0.0463,0.42500156993639004,0.7393993903601184
A1_L1_2,Foretinib (XL880),453,-0.0462,0.3264147264749777,0.6630967575835065
A0_L1_8,Dovitinib (CHIR-258),455,-0.0462,0.3251611122644755,0.6620504611534938
A1_L1_5,SU11274,402,-0.0461,0.35673037355269555,0.6855613071739884
A3_L1_8,Ibrutinib (PCI-32765),438,-0.0461,0.3356740195990512,0.6690876952392891
A1_L1_9,Nilotinib,472,-0.0461,0.31735271220033096,0.654748157676538
A1_basin_edge_0,AGI-5198,299,-0.0459,0.42947747108415857,0.741922630460235
A1_L1_8,KU-55933,453,-0.0459,0.329569010573745,0.6660662213186036
A3_L1_13,MLN8054,452,-0.0458,0.3315056030963651,0.6674176058188831
