state_id,drug_key,conn_rank,proj_rank,escape_rank,beat_rank,drug,n_signals,composite_score,n_top_decile,high_confidence
A1_L1_9,gsk2334470,0.9855769230769231,1.0,,,GSK-2334470,2,0.9927884615384616,2,True
A1_L1_12,pt630,0.9927884615384616,0.9903846153846154,,,PT-630,2,0.9915865384615385,2,True
A1_L1_0,ikk3inhibitorix,0.9903846153846154,0.9855769230769231,,,IKK3-inhibitor-IX,2,0.9879807692307693,2,True
A1_basin_edge_0,cerulenin,0.9879807692307693,0.9879807692307693,,,cerulenin,2,0.9879807692307693,2,True
A0_L1_9,rlm212,0.9975961538461539,0.9783653846153846,,,RLM-2-12,2,0.9879807692307692,2,True
A0_L1_11,prima1,0.9879807692307693,0.9855769230769231,,,PRIMA1,2,0.9867788461538463,2,True
A1_L1_5,ikk3inhibitorix,0.9831730769230769,0.9855769230769231,,,IKK3-inhibitor-IX,2,0.984375,2,True
A1_L1_3,chembl1222381,1.0,0.9663461538461539,,,CHEMBL-1222381,2,0.9831730769230769,2,True
A1_L1_12,ikk3inhibitorix,0.9783653846153846,0.9855769230769231,,,IKK3-inhibitor-IX,2,0.9819711538461539,2,True
A1_L1_2,brda36275421,0.9879807692307693,0.9759615384615384,,,BRD-A36275421,2,0.9819711538461539,2,True
A1_L1_14,baxchannelblocker,1.0,0.9639423076923077,,,BAX-channel-blocker,2,0.9819711538461539,2,True
A2_L1_0,brdk84924563,0.9615384615384616,1.0,,,BRD-K84924563,2,0.9807692307692308,2,True
A1_L1_9,dalcetrapib,0.9831730769230769,0.9783653846153846,,,dalcetrapib,2,0.9807692307692307,2,True
A0_L1_8,nfkbactivationinhibitorii,1.0,0.9591346153846154,,,NFKB-activation-inhibitor-II,2,0.9795673076923077,2,True
A1_L1_12,dalcetrapib,0.9807692307692307,0.9783653846153846,,,dalcetrapib,2,0.9795673076923077,2,True
A2_L1_3,ver155008,0.9615384615384616,0.9975961538461539,,,VER-155008,2,0.9795673076923077,2,True
A1_L1_9,blebbistatin,0.9615384615384616,0.9975961538461539,,,blebbistatin,2,0.9795673076923077,2,True
A1_L1_10,importazole,0.9951923076923077,0.9591346153846154,,,importazole,2,0.9771634615384616,2,True
A0_L1_6,prima1,0.96875,0.9855769230769231,,,PRIMA1,2,0.9771634615384616,2,True
A1_L1_8,importazole,0.9927884615384616,0.9591346153846154,,,importazole,2,0.9759615384615385,2,True
A0_L1_11,mst312,0.9831730769230769,0.96875,,,MST-312,2,0.9759615384615384,2,True
A1_L1_10,brda36275421,0.9759615384615384,0.9759615384615384,,,BRD-A36275421,2,0.9759615384615384,2,True
A1_L1_9,rhokinaseinhibitoriiirockout,0.9927884615384616,0.9567307692307693,,,RHO-kinase-inhibitor-III[rockout],2,0.9747596153846154,2,True
A3_L1_9,bms191011,0.9903846153846154,0.9579326923076923,,,BMS-191011,2,0.9741586538461539,2,True
A1_L1_1,baxchannelblocker,0.9831730769230769,0.9639423076923077,,,BAX-channel-blocker,2,0.9735576923076923,2,True
A3_L1_13,dorsomorphin,0.9735576923076923,0.9735576923076923,,,dorsomorphin,2,0.9735576923076923,2,True
A1_L1_6,gsk2334470,0.9447115384615384,1.0,,,GSK-2334470,2,0.9723557692307692,2,True
A1_L1_10,chembl1222381,0.9783653846153846,0.9663461538461539,,,CHEMBL-1222381,2,0.9723557692307692,2,True
A1_L1_16,promazine,0.9807692307692307,0.9615384615384616,,,promazine,2,0.9711538461538461,2,True
A1_L1_2,phorbolmyristateacetate,0.9951923076923077,0.9471153846153846,,,phorbol-myristate-acetate,2,0.9711538461538461,2,True
A2_L1_0,ver155008,0.9447115384615384,0.9975961538461539,,,VER-155008,2,0.9711538461538461,2,True
A1_basin_edge_0,piperlongumine,0.96875,0.9711538461538461,,,piperlongumine,2,0.9699519230769231,2,True
A0_L1_2,rlm212,0.9615384615384616,0.9783653846153846,,,RLM-2-12,2,0.9699519230769231,2,True
A0_L1_8,rlm212,0.9591346153846154,0.9783653846153846,,,RLM-2-12,2,0.96875,2,True
A1_L1_15,pt630,0.9471153846153846,0.9903846153846154,,,PT-630,2,0.96875,2,True
A3_L1_8,pyrviniumpamoate,0.9879807692307693,0.9495192307692307,,,pyrvinium-pamoate,2,0.96875,2,True
A2_L1_3,brdk84924563,0.9375,1.0,,,BRD-K84924563,2,0.96875,2,True
A1_L1_3,brda36275421,0.9615384615384616,0.9759615384615384,,,BRD-A36275421,2,0.96875,2,True
A2_L1_7,brda98248982,0.9543269230769231,0.9783653846153846,,,BRD-A98248982,2,0.9663461538461539,2,True
A2_L1_3,manumycina,0.9639423076923077,0.96875,,,manumycin-a,2,0.9663461538461539,2,True
A2_L1_9,brda98248982,0.9543269230769231,0.9783653846153846,,,BRD-A98248982,2,0.9663461538461539,2,True
A1_L1_16,emetine,0.9927884615384616,0.9375,,,emetine,2,0.9651442307692308,2,True
A3_L1_5,cd1530,0.9903846153846154,0.9375,,,CD-1530,2,0.9639423076923077,2,True
A3_L1_5,manumycina,0.9975961538461539,0.9302884615384616,,,manumycin-a,2,0.9639423076923077,2,True
A3_L1_8,dorsomorphin,0.9543269230769231,0.9735576923076923,,,dorsomorphin,2,0.9639423076923077,2,True
A1_L1_15,gsk2334470,0.9254807692307693,1.0,,,GSK-2334470,2,0.9627403846153846,2,True
A3_L1_5,su11652,1.0,0.9254807692307693,,,SU-11652,2,0.9627403846153846,2,True
A3_L1_3,manumycina,0.9951923076923077,0.9302884615384616,,,manumycin-a,2,0.9627403846153846,2,True
A3_L1_10,dorsomorphin,0.9519230769230769,0.9735576923076923,,,dorsomorphin,2,0.9627403846153846,2,True
A0_L1_6,emetine,0.9759615384615384,0.9495192307692307,,,emetine,2,0.9627403846153846,2,True
A0_L1_4,paclitaxel,0.9326923076923077,0.9927884615384616,,,paclitaxel,2,0.9627403846153846,2,True
A1_L1_15,promazine,0.9639423076923077,0.9615384615384616,,,promazine,2,0.9627403846153846,2,True
A1_L1_14,importazole,0.9639423076923077,0.9591346153846154,,,importazole,2,0.9615384615384616,2,True
