state_id,basin,n_cells_total,n_real,n_synth,augmentation_factor,top_vangalen_type,top_vangalen_frac,top_atlas_type,top_atlas_frac,malignant_frac,n_patients,is_rare_state
A2_L1_16,A2,6,6,0,1.0,T,0.5,nan,0.833,0.0,3,False
A1_basin_edge_2,A1,6,6,0,1.0,lateEry,1.0,nan,0.667,0.0,2,True
A0_L1_5,A0,6,6,0,1.0,Mono,0.333,nan,0.5,0.333,5,False
A0_L1_12,A0,5,5,0,1.0,Mono,0.6,GMP,0.6,0.6,3,False
A3_L1_11,A3,3,3,0,1.0,Plasma,0.667,nan,1.0,0.0,2,False
A2_L1_1,A2,3,3,0,1.0,T,0.667,Erythroid,0.333,0.0,3,False
A3_L1_18,A3,2,2,0,1.0,HSC,0.5,nan,1.0,0.0,2,False
A2_L1_11,A2,2,2,0,1.0,Plasma,0.5,ProMono,0.5,0.0,2,False
A2_L1_5,A2,2,2,0,1.0,NK,0.5,HSPC,0.5,0.0,2,False
A0_L1_16,A0,1,1,0,1.0,CTL,1.0,nan,1.0,0.0,1,False
A2_L1_18,A2,1,1,0,1.0,nan,1.0,GMP,1.0,0.0,1,False
A3_L1_17,A3,1,1,0,1.0,T,1.0,nan,1.0,0.0,1,False
