state_id,basin,n_real,centroid_phi,centroid_score_norm,basin_depth,width_logdet,hessian_n_negative_eigs,D_trace_mean,MFPT_to_mature_monocyte,MFPT_to_primitive_blast,committor_to_mature_monocyte,committor_to_primitive_blast,first_hit_mature_monocyte,first_hit_primitive_blast,censored_frac,inherited_from_basin_mean
A1_L1_11,A1,42,-15.632,30.126,13.853,-50.335,7.0,16.439,22.9,30.0,0.33,0.001,0.002,0.0,0.933,False
A2_L1_15,A2,33,-20.203,26.962,-7.806,-25.342,5.0,12.745,20.59,30.0,0.36,0.002,0.003,0.0,0.943,False
A2_L1_10,A2,30,-21.56,24.028,-9.162,-27.956,5.0,11.912,26.69,30.0,0.24,0.003,0.003,0.0,0.748,False
A1_basin_edge_3,A1,12,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,6.166666666666667,12.865388888888889,19.265555555555554,30.0,0.32844444444444443,0.004,0.0125,0.0,0.8219444444444445,True
A1_basin_edge_4,A1,9,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,6.166666666666667,12.865388888888889,19.265555555555554,30.0,0.32844444444444443,0.004,0.0125,0.0,0.8219444444444445,True
A1_basin_edge_1,A1,6,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,6.166666666666667,12.865388888888889,19.265555555555554,30.0,0.32844444444444443,0.004,0.0125,0.0,0.8219444444444445,True
A1_L1_17,A1,28,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,6.166666666666667,12.865388888888889,19.265555555555554,30.0,0.32844444444444443,0.004,0.0125,0.0,0.8219444444444445,True
A3_L1_12,A3,27,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,5.75,11.820833333333333,21.670833333333334,29.87,0.27299999999999996,0.0030833333333333333,0.008749999999999999,8.333333333333333e-05,0.7671666666666667,True
A2_L1_8,A2,26,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A0_L1_17,A0,24,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A1_L1_18,A1,18,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,6.166666666666667,12.865388888888889,19.265555555555554,30.0,0.32844444444444443,0.004,0.0125,0.0,0.8219444444444445,True
A0_L1_10,A0,18,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A2_L1_6,A2,18,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A3_L1_16,A3,17,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,5.75,11.820833333333333,21.670833333333334,29.87,0.27299999999999996,0.0030833333333333333,0.008749999999999999,8.333333333333333e-05,0.7671666666666667,True
A0_L1_14,A0,17,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A3_L1_6,A3,15,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,5.75,11.820833333333333,21.670833333333334,29.87,0.27299999999999996,0.0030833333333333333,0.008749999999999999,8.333333333333333e-05,0.7671666666666667,True
A0_L1_0,A0,14,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A2_L1_14,A2,12,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A3_L1_2,A3,10,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,5.75,11.820833333333333,21.670833333333334,29.87,0.27299999999999996,0.0030833333333333333,0.008749999999999999,8.333333333333333e-05,0.7671666666666667,True
A2_L1_2,A2,10,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A0_L1_15,A0,9,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A2_L1_13,A2,9,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A0_L1_1,A0,8,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A0_L1_7,A0,7,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A2_L1_16,A2,6,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A1_basin_edge_2,A1,6,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,6.166666666666667,12.865388888888889,19.265555555555554,30.0,0.32844444444444443,0.004,0.0125,0.0,0.8219444444444445,True
A0_L1_5,A0,6,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A0_L1_12,A0,5,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A3_L1_11,A3,3,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,5.75,11.820833333333333,21.670833333333334,29.87,0.27299999999999996,0.0030833333333333333,0.008749999999999999,8.333333333333333e-05,0.7671666666666667,True
A2_L1_1,A2,3,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A3_L1_18,A3,2,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,5.75,11.820833333333333,21.670833333333334,29.87,0.27299999999999996,0.0030833333333333333,0.008749999999999999,8.333333333333333e-05,0.7671666666666667,True
A2_L1_11,A2,2,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A2_L1_5,A2,2,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A0_L1_16,A0,1,-21.108,26.179125,6.668,-30.354,5.625,12.432125,15.855,30.0,0.660125,0.000375,0.14025,0.0,0.827875,True
A2_L1_18,A2,1,-21.105249999999998,25.17575,-8.7075,-33.31675,5.625,12.7575,23.86375,30.0,0.36425,0.00275,0.0115,0.0,0.898,True
A3_L1_17,A3,1,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,5.75,11.820833333333333,21.670833333333334,29.87,0.27299999999999996,0.0030833333333333333,0.008749999999999999,8.333333333333333e-05,0.7671666666666667,True
