lsc_subtype_id,n_cells,n_real,n_synth,n_patients,dominant_basin,dominant_state_id,G1_frac,S_frac,G2M_frac,cycling_frac,phase_tag,LSC17_mean,LSC6_mean,D_trace_mean,top5_markers
LSC_sub_0,1681,1681,0,17,A1,A1_L1_0,0.767,0.123,0.109,0.232,mixed,0.309,0.645,2.28,"MALAT1,ANGPT1,GUCY1A3,NEAT1,RNA28S"
LSC_sub_1,180,180,0,13,A1,A1_L1_4,0.061,0.272,0.667,0.939,cycling,0.31,0.592,2.733,"HMGB1,HMGN2,HMGB2,CENPF,TUBA1B"
