group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
A0_L1_11,FKBP2,31.060734,4.284394,8.171554497244505e-212,1.114302885987887e-209,0.6184668989547039,0.08355817185839261
A0_L1_11,FCRL5,30.667336,8.645057,1.5522905368322587e-206,2.0247267871725116e-204,0.5339721254355401,0.0028888343825797837
A0_L1_11,ITM2C,30.40232,3.8552878,5.11835772747574e-203,6.397947159344675e-201,0.6472125435540069,0.11389093287548034
A0_L1_11,CD59,29.158546,4.030716,6.509669254743629e-187,7.811603105692355e-185,0.5914634146341463,0.086174474695446
A0_L1_11,COMMD3,28.362148,3.6738105,5.928217727171105e-177,6.586908585745673e-175,0.6210801393728222,0.15676014498678223
A0_L1_11,SEL1L,28.279875,3.9190059,6.111076722869732e-176,6.547582203074712e-174,0.5914634146341463,0.12332052435069359
A0_L1_11,PRDM1,27.930933,4.622879,1.1237967852404967e-171,1.1625483985246517e-169,0.5339721254355401,0.04085247867440656
A0_L1_11,HSPA5,27.254883,2.7028196,1.4545626976741278e-163,1.4545626976741278e-161,0.8876306620209059,0.4793557354263756
A0_L1_11,BIRC3,27.180677,3.8469007,1.0991208169708854e-162,1.0304257659102051e-160,0.5923344947735192,0.12351129643256206
A0_L1_11,TNFRSF17,27.168985,9.01286,1.5108593715074494e-162,1.3735085195522267e-160,0.4721254355400697,0.0019622271277900416
A0_L1_11,HSP90B2P,26.777025,3.520786,5.984597699391026e-158,4.987164749492522e-156,0.5801393728222997,0.13414002670809147
A0_L1_11,DERL3,26.608671,6.5081,5.387869135759648e-156,4.368542542507823e-154,0.4712543554006969,0.011582590684871774
A0_L1_11,SPCS1,26.327795,2.8637278,9.218871249261122e-153,7.278056249416675e-151,0.681184668989547,0.21824326165753685
A0_L1_11,HIPK2,25.573223,3.3131115,3.029926303590079e-144,2.217019246529326e-142,0.573170731707317,0.1287166489521162
A0_L1_11,IRF4,25.487679,5.272808,2.700046927739854e-143,1.92860494838561e-141,0.46689895470383275,0.023355953451612024
A0_L1_11,ANKRD28,25.418306,2.80556,1.5827071325691786e-142,1.104214278536636e-140,0.7029616724738676,0.30414520480745644
A0_L1_11,TP53INP1,25.01448,3.876496,4.2537279762945554e-138,2.835818650863037e-136,0.5052264808362369,0.0658708745537296
A0_L1_11,CPNE5,23.911146,7.7594457,2.3452364857470385e-126,1.4969594589874715e-124,0.4172473867595819,0.003025100155342981
A0_L1_11,JUN,23.827389,2.6450517,1.7376520326379065e-125,1.0638685914109633e-123,0.7569686411149826,0.30681601395361513
A0_L1_11,CADM1,23.483822,6.9396143,5.968728009333205e-122,3.581236805599923e-120,0.41289198606271776,0.005832175074264846
A0_L1_11,TXNDC11,22.678642,4.1079183,7.27994319119044e-114,4.28231952422967e-112,0.43989547038327526,0.04622135012127654
A0_L1_11,SDC1,21.864151,8.872143,5.701605514212628e-106,3.289387796661132e-104,0.3797909407665505,0.0014444171912898918
A0_L1_11,LINC01781,21.796984,7.6641197,2.4782149377450472e-105,1.4027631723085172e-103,0.3806620209059233,0.003270378546316736
A0_L1_11,BMI1,21.442442,2.7527707,5.371862576470446e-102,2.984368098039137e-100,0.5235191637630662,0.14081704957348812
A0_L1_11,RNA28S,21.16315,0.60961396,2.0879439939031262e-99,1.1185414253052461e-97,1.0,0.9996184558362631
A0_L1_11,NUCB2,19.972853,2.1082613,9.487652163596661e-89,4.993501138735085e-87,0.7883275261324042,0.40073038454201076
A0_L1_11,CPEB4,19.736431,2.975841,1.0493270373820588e-86,5.427553641631338e-85,0.43902439024390244,0.09317853541547434
A0_L1_11,PDE4B,19.088446,2.507587,3.149984416594154e-81,1.601686991488553e-79,0.4764808362369338,0.12465592892377293
A0_L1_11,JCHAIN,19.046307,4.262529,7.05041233946681e-81,3.5252061697334045e-79,0.39198606271777003,0.07118523969149429
A0_L1_11,BHLHE41,18.05025,6.9792066,7.853437749078081e-73,3.739732261465752e-71,0.3162020905923345,0.0034884037827378517
A0_L1_11,MANF,17.993738,2.9671984,2.181367673082304e-72,1.02251609675733e-70,0.3911149825783972,0.07595454173820619
A0_L1_11,MALAT1,17.542503,0.87079936,6.786981597017454e-69,3.132453044777286e-67,0.9982578397212544,0.9890442318698389
A0_L1_13,HBB,12.759201,8.014122,2.7702712686844786e-37,8.310813806053436e-34,0.9333333333333333,0.22695016681671346
A0_L1_13,HBA2,10.11832,6.4600625,4.582099092383738e-24,6.873148638575608e-21,0.72,0.06410527988137478
A0_L1_13,HBG2,9.583827,6.951179,9.351448195593755e-22,9.351448195593756e-19,0.6666666666666666,0.03180109092834825
A0_L1_13,HBD,9.441593,5.7123246,3.67154544232452e-21,2.75365908174339e-18,0.6933333333333334,0.0729492135783509
A0_L1_13,HBG1,9.236784,6.997614,2.540175384125946e-20,1.5241052304755675e-17,0.64,0.027590954827093152
A0_L1_13,S100A8,8.857861,4.445671,8.156448515250884e-19,4.078224257625442e-16,0.88,0.28528305883599003
A0_L1_13,CA1,8.511739,5.1520963,1.7134464694226054e-17,7.343342011811166e-15,0.6266666666666667,0.05136895620399301
A0_L1_13,S100A9,8.391656,4.2987175,4.793420824891172e-17,1.7113526371934467e-14,0.8666666666666667,0.3100142985754382
A0_L1_13,AHSP,8.383583,5.416725,5.13405791158034e-17,1.7113526371934467e-14,0.6133333333333333,0.055499655775035746
A0_L1_13,HBA1,8.284027,5.8663454,1.1907855437903544e-16,3.5723566313710626e-14,0.5866666666666667,0.038182492188741195
A0_L1_13,APOOL,8.125377,3.11708,4.459737426412486e-16,1.2162920253852236e-13,0.9066666666666666,0.529100248901128
A0_L1_13,ELK2AP,7.675811,6.0198984,1.6437575717755008e-14,4.109393929438752e-12,0.5466666666666666,0.032463062013451255
A0_L1_13,LYZ,7.5486917,4.302671,4.396519441937733e-14,1.0145814096779384e-11,0.9466666666666667,0.440925700365408
A0_L1_13,SSR4,5.0942993,1.9783808,3.500330972056861e-07,6.17705465657093e-05,0.72,0.4373245776624477
A0_L1_13,HBM,4.8913684,5.0282135,1.0013730378764817e-06,0.0001581115322962866,0.3466666666666667,0.020415188264576604
A0_L1_13,JCHAIN,4.8358927,3.5174751,1.325493288795968e-06,0.00019882399331939518,0.4,0.08028385320129217
A0_L1_13,RNA28S,4.7887707,0.5377673,1.6780600292221628e-06,0.00023972286131745182,1.0,0.9996292961923423
