state_id,library,term,p_value,adj_p_value,overlap,overlap_genes
A3_L1_8,Reactome_2022,Immune System R-HSA-168256,8.371513286664977e-08,8.371513286664978e-07,19/1943,"CD36,CST3,CYBB,FLT3,HLA-DPA1,HLA-DQA1,HLA-DRA,IL18BP,IRF4,IRF8,ITM2C,LY86,PECAM1,PLAC8,RPLP0,S100B,SAMHD1,SIGLEC6,TYROBP"
A3_L1_8,KEGG_2021_Human,Hematopoietic cell lineage,1.6817968781404225e-07,1.6817968781404224e-06,6/99,"CD36,FLT3,HLA-DPA1,HLA-DQA1,HLA-DRA,MS4A1"
A3_L1_8,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,9.87114532495164e-07,4.935572662475821e-06,11/702,"CD36,FLT3,HLA-DPA1,HLA-DQA1,HLA-DRA,IL18BP,IRF4,IRF8,RPLP0,S100B,SAMHD1"
A3_L1_14,KEGG_2021_Human,Hematopoietic cell lineage,4.928006686403938e-09,4.9280066864039387e-08,7/99,"CD24,DNTT,HLA-DPA1,HLA-DQA1,HLA-DRA,MME,MS4A1"
A3_L1_14,KEGG_2021_Human,Toxoplasmosis,3.503662589558686e-07,1.7518312947793429e-06,6/112,"BIRC3,HLA-DPA1,HLA-DQA1,HLA-DRA,JAK1,NFKBIA"
A3_L1_14,MSigDB_Hallmark_2020,Interferon Gamma Response,6.248203367794541e-07,6.248203367794541e-06,7/200,"BANK1,CD69,HLA-DQA1,NFKBIA,PDE4B,SAMD9L,SP110"
A0_L1_3,Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,0.00021805407700673635,0.0021805407700673635,2/9,"HSP90B1,NFYA"
A0_L1_3,Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,0.0003320741801783149,0.0016603709008915744,2/11,"HSP90B1,NFYA"
A0_L1_3,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,0.001056460780021397,0.0035215359334046566,6/468,"AZU1,CTSG,ELANE,LYZ,MPO,RNASE2"
A3_L1_15,MSigDB_Hallmark_2020,G2-M Checkpoint,2.016296999646656e-12,2.016296999646656e-11,11/200,"BIRC5,CENPF,HMGN2,KPNB1,MKI67,NCL,PTTG1,SMC4,STMN1,TOP2A,TPX2"
A3_L1_15,MSigDB_Hallmark_2020,E2F Targets,3.2563848710773666e-08,1.6281924355386834e-07,8/200,"BIRC5,DLGAP5,HMGB2,MKI67,PTTG1,SMC4,STMN1,TOP2A"
A3_L1_15,MSigDB_Hallmark_2020,Myc Targets V1,3.2563848710773666e-08,1.0854616236924555e-07,8/200,"CNBP,COX5A,HNRNPC,HSPD1,KPNB1,NPM1,RPLP0,YWHAE"
A1_L1_11,KEGG_2021_Human,Protein processing in endoplasmic reticulum,3.665335432205666e-10,3.6653354322056657e-09,9/171,"DERL3,DNAJC1,HERPUD1,HSP90B1,HSPA5,LMAN2,SEL1L,SSR4,TXNDC5"
A1_L1_11,MSigDB_Hallmark_2020,G2-M Checkpoint,1.0220471700815356e-05,0.00010220471700815356,6/200,"CCNA2,HMMR,KIF11,MKI67,NUSAP1,STMN1"
A1_L1_11,MSigDB_Hallmark_2020,mTORC1 Signaling,1.0220471700815356e-05,5.110235850407678e-05,6/200,"BTG2,EIF2S2,FKBP2,HSP90B1,HSPA5,SDF2L1"
A2_L1_15,MSigDB_Hallmark_2020,G2-M Checkpoint,1.4679850449042865e-09,1.4679850449042865e-08,9/200,"BIRC5,CENPF,HMGN2,MKI67,NCL,PTTG1,SMC4,STMN1,TOP2A"
A2_L1_15,MSigDB_Hallmark_2020,E2F Targets,1.4679850449042865e-09,7.339925224521433e-09,9/200,"BIRC5,HMGB2,MKI67,PAICS,PTTG1,SMC4,STMN1,TOP2A,TUBB"
A2_L1_15,Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",5.2276800412487815e-08,5.227680041248781e-07,11/523,"BIRC5,CDK6,CENPF,HSP90AA1,PSMB2,PTTG1,SMC4,TOP2A,TUBA1B,TUBB,YWHAE"
A2_L1_10,Reactome_2022,Mitochondrial Translation Termination R-HSA-5419276,0.0011331184495071275,0.0037770614983570917,3/82,"GADD45GIP1,MRPS21,MRPS5"
A2_L1_10,Reactome_2022,Mitochondrial Translation Elongation R-HSA-5389840,0.0011331184495071275,0.011331184495071275,3/82,"GADD45GIP1,MRPS21,MRPS5"
A2_L1_10,Reactome_2022,Mitochondrial Translation Initiation R-HSA-5368286,0.0011331184495071275,0.0056655922475356375,3/82,"GADD45GIP1,MRPS21,MRPS5"
