state_id,library,term,p_value,adj_p_value,overlap,overlap_genes
A0_L1_11,Reactome_2022,Immune System R-HSA-168256,5.1510336663910874e-05,0.0005151033666391088,15/1943,"BIRC3,CD59,COMMD3,HSP90B1,HSPA5,IGLL5,IRF4,ITM2C,JUN,PLPP5,PRDX4,SDC1,SLAMF7,TNFRSF17,TXNDC5"
A1_L1_10,MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,1.0220471700815356e-05,0.00010220471700815356,6/200,"AREG,BIRC3,CD69,IL7R,JUN,PDE4B"
A1_L1_10,MSigDB_Hallmark_2020,KRAS Signaling Up,0.00013984213894723799,0.0006992106947361899,5/200,"BIRC3,CFH,IKZF1,IL7R,PRKG2"
A1_L1_10,Reactome_2022,GAB1 Signalosome R-HSA-180292,0.0008132914216516608,0.008132914216516608,2/17,"AREG,PAG1"
A0_L1_8,Reactome_2022,Immune System R-HSA-168256,4.750564027943603e-13,4.750564027943604e-12,25/1943,"ANXA2,CD36,CFP,CLEC10A,CST3,CTSS,CYBB,FCER1A,FGL2,FLT3,FOS,HLA-DPA1,HLA-DQA1,HLA-DRA,IFI30,IQGAP1,IRF8,LY86,LYZ,MNDA,MRC1,PYCARD,S100B,SAMHD1,TYROBP"
A0_L1_8,Reactome_2022,Innate Immune System R-HSA-168249,2.3445453363942597e-10,1.17227266819713e-09,17/1035,"ANXA2,CD36,CFP,CLEC10A,CST3,CTSS,CYBB,FCER1A,FGL2,FOS,IQGAP1,LY86,LYZ,MNDA,PYCARD,S100B,TYROBP"
A0_L1_8,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.2700006125292646e-09,4.233335375097548e-09,12/468,"ANXA2,CD36,CFP,CST3,CTSS,CYBB,FGL2,IQGAP1,LYZ,MNDA,PYCARD,TYROBP"
A1_L1_7,MSigDB_Hallmark_2020,heme Metabolism,2.016296999646656e-12,2.016296999646656e-11,11/200,"AHSP,ANK1,BLVRB,CA1,GYPC,HBB,HBD,PRDX2,RHAG,TFRC,UROD"
A1_L1_7,MSigDB_Hallmark_2020,E2F Targets,6.248203367794541e-07,3.1241016838972706e-06,7/200,"CKS2,DUT,HMGB2,PAICS,STMN1,TFRC,TUBB"
A1_L1_7,Reactome_2022,TFAP2A Acts As A Transcriptional Repressor During Retinoic Acid Induced Cell Differentiation R-HSA-8869496,6.095953656049905e-05,0.0006095953656049905,2/5,"HSPD1,NPM1"
A1_L1_9,Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,1.221983260213879e-06,1.221983260213879e-05,3/9,"CALR,HSP90B1,HSPA5"
A1_L1_9,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,2.0822078677456008e-06,1.0411039338728004e-05,9/468,"AZU1,CTSG,ELANE,MPO,MS4A3,PLAC8,PRTN3,RNASE2,RNASE3"
A1_L1_9,Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,2.391873586115355e-06,7.97291195371785e-06,3/11,"CALR,HSP90B1,HSPA5"
A3_L1_1,KEGG_2021_Human,Coronavirus disease,0.00027858237497474964,0.0027858237497474965,5/232,"JAK1,RPL17,RPLP0,RPS25,RPSA"
A3_L1_1,KEGG_2021_Human,Ribosome,0.0006508342086911895,0.0032541710434559478,4/158,"RPL17,RPLP0,RPS25,RPSA"
A3_L1_1,Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,0.0006893407173111101,0.006893407173111101,5/283,"CHMP7,JAK1,MGAT4A,RPS25,RPSA"
A1_L1_12,Reactome_2022,Hemostasis R-HSA-109582,5.764059095436429e-12,5.7640590954364283e-11,15/576,"ABCC4,ANGPT1,FERMT3,GATA1,GATA2,HBD,ITGA2B,ITGB3,KIF2A,MMRN1,PIK3CB,PLEK,PRKAR2B,RAB27B,RAP1B"
A1_L1_12,Reactome_2022,"Platelet Activation, Signaling And Aggregation R-HSA-76002",1.1869515385104064e-08,5.9347576925520324e-08,9/254,"ABCC4,FERMT3,ITGA2B,ITGB3,MMRN1,PIK3CB,PLEK,RAB27B,RAP1B"
A1_L1_12,Reactome_2022,Platelet Degranulation R-HSA-114608,2.5132876052446167e-08,8.37762535081539e-08,7/125,"ABCC4,FERMT3,ITGA2B,ITGB3,MMRN1,PLEK,RAB27B"
A3_L1_0,Reactome_2022,Cellular Responses To Stress R-HSA-2262752,1.2990164586045829e-06,1.2990164586045828e-05,11/722,"AREG,CALR,CDK6,FOS,HSP90AA1,RPL22L1,RPLP0,RPS25,RPSA,SOD1,YWHAE"
A3_L1_0,Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,1.5662351643646447e-06,7.831175821823223e-06,11/736,"AREG,CALR,CDK6,FOS,HSP90AA1,RPL22L1,RPLP0,RPS25,RPSA,SOD1,YWHAE"
A3_L1_0,Reactome_2022,Influenza Infection R-HSA-168255,2.54011061568145e-06,8.467035385604834e-06,6/157,"CALR,HSP90AA1,RPL22L1,RPLP0,RPS25,RPSA"
A2_L1_0,MSigDB_Hallmark_2020,Myc Targets V1,6.248203367794541e-07,6.248203367794541e-06,7/200,"COX5A,HNRNPC,HSPD1,NPM1,RPLP0,SRSF3,YWHAE"
A2_L1_0,KEGG_2021_Human,Antigen processing and presentation,4.301727515653992e-05,0.0004301727515653992,4/78,"CALR,HLA-DPA1,HLA-DRA,HSP90AA1"
A2_L1_0,Reactome_2022,Influenza Infection R-HSA-168255,4.45564938817441e-05,0.000445564938817441,5/157,"CALR,HSP90AA1,RPLP0,RPS25,RPSA"
A3_L1_5,Reactome_2022,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,2.2470727375708355e-08,2.2470727375708354e-07,7/123,"CD3D,CD8A,KLRB1,KLRD1,KLRF1,SH2D1A,SLAMF7"
A3_L1_5,MSigDB_Hallmark_2020,Allograft Rejection,6.248203367794541e-07,6.248203367794541e-06,7/200,"CCL5,CD3D,CD8A,GZMA,GZMB,KLRD1,PRF1"
A3_L1_5,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1.8677563846610465e-05,0.00018677563846610467,5/131,"CD48,GZMB,KLRD1,PRF1,SH2D1A"
