state_id,basin,n_cells_total,n_real,n_synth,augmentation_factor,top_vangalen_type,top_vangalen_frac,top_atlas_type,malignant_frac,n_patients,is_rare_state,top_atlas_frac,centroid_phi,centroid_score_norm,basin_depth,width_logdet,D_trace_mean,MFPT_to_mature_monocyte,MFPT_to_primitive_blast,committor_to_mature_monocyte,committor_to_primitive_blast,censored_frac,inherited_from_basin_mean,n_patients_longitudinal,persistence_log2_PR_median,persistence_frac_enriched,top10_overlap,spearman_top10,top5_markers,best_pathway_library,best_pathway_term,best_pathway_adj_p,best_pathway_overlap,lsc_subtype_dominant,lsc_subtype_phase_tag,reproduces,broad_reproduces,enrichment_sig,top_scoring_atlas_ct,enrichment_p,confidence_tier,logrank_p,logrank_q,HR_per_SD,HR_CI_low,HR_CI_high,cox_p,cox_q,delta_C_index,independent,top3_drugs,beataml_top_sensitizer,beataml_rho,beataml_q
A0_L1_8,A0,1055,1055,0,1.0,cDC-like,0.668,cDC,0.69,20,False,0.641,-22.225,24.914,5.551,-36.23,11.262,14.47,30.0,0.672,0.0,0.785,False,10.0,0.883,0.6,10.0,0.988,"HLA-DRA,HLA-DPA1,CST3,SAMHD1,NAPSB",Reactome_2022,Immune System R-HSA-168256,4.750564027943604e-12,25/1943,,,True,True,True,cDC,0.0,HIGH,0.0896197946161345,0.6688663283741271,1.202,0.976,1.481,0.0834205854143809,0.9566288647243548,0.0082,False,"NVP-AEW541,Artemisinin,Venetoclax",Trametinib (GSK1120212),-0.4168,2.863169147339271e-18
A1_L1_7,A1,810,810,0,1.0,earlyEry,0.479,Erythroid,0.032,21,False,0.496,-20.938,25.791,8.547,-17.378,13.111,21.76,30.0,0.366,0.001,0.955,False,11.0,1.8917,0.727,10.0,0.964,"HBB,HMGB1,HBD,CA1,TFRC",MSigDB_Hallmark_2020,heme Metabolism,2.016296999646656e-11,11/200,,,True,True,True,Erythroid,0.0,HIGH,0.3713452396892182,0.7442515108323873,0.948,0.771,1.166,0.6142235545904462,0.9566288647243548,-0.0025,False,"Ranolazine,LY294002,NVP-AEW541",Ponatinib (AP24534),-0.1941,0.0167539546756205
A1_L1_9,A1,782,782,0,1.0,GMP-like,0.465,GMP,0.57,20,False,0.454,-23.186,24.708,6.299,-20.925,11.403,18.34,30.0,0.508,0.0,0.908,False,10.0,-1.1141,0.3,10.0,0.842,"ELANE,CALR,AZU1,LRRC75A-AS1,PRTN3",Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,7.97291195371785e-06,3/11,,,False,True,True,CMP,0.0,HIGH,0.5107805214784782,0.8102035857934481,0.974,0.79,1.202,0.8086610802326685,0.9719400717263436,-0.0011,False,"XMD 8-87,Indisulam,GSK-2334470",Perhexiline maleate,-0.2745,0.3849177958812075
A3_L1_1,A3,759,759,0,1.0,T,0.881,,0.003,19,False,0.736,-25.035,26.489,-15.116,-56.42,9.81,30.0,30.0,0.025,0.004,0.299,False,11.0,2.0844,0.727,10.0,0.867,"IL7R,RPS25,GIMAP7,RPL17,SYNE2",KEGG_2021_Human,Coronavirus disease,0.0027858237497474,5/232,,,True,True,True,T,0.0,HIGH,0.6820921858556186,0.8489231376422243,0.945,0.756,1.181,0.6194023836478831,0.9566288647243548,0.0057,False,"Lestaurtinib (CEP-701),JNK Inhibitor II,p38 MAP Kinase Inhibitor",Perhexiline maleate,-0.23,0.4958576940143556
A1_L1_12,A1,546,546,0,1.0,earlyEry,0.288,,0.357,17,False,0.463,-17.7,25.084,11.784,-35.249,16.895,30.0,30.0,0.525,0.005,0.994,False,9.0,-0.2629,0.444,9.0,1.0,"PLEK,SOX4,GATA2,SLC40A1,RGS18",Reactome_2022,Hemostasis R-HSA-109582,5.764059095436428e-11,15/576,,,False,True,True,MEP,0.0,HIGH,0.2450864882953241,0.7442515108323873,1.033,0.841,1.269,0.7553732557491266,0.9719400717263436,0.0,False,"Artemisinin,PT-630,AMPK Inhibitor",BMS-754807,-0.1989,0.5501652681148301
A3_L1_0,A3,450,450,0,1.0,Prog-like,0.307,HSPC,0.567,18,False,0.691,-24.331,21.127,-14.412,-39.883,10.804,23.88,30.0,0.209,0.006,0.71,False,10.0,-1.19505,0.2,10.0,0.891,"RPLP0,LRRC75A-AS1,RPL17,RPS25,SPINK2",Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,7.831175821823223e-06,11/736,,,True,True,True,HSPC,0.0,HIGH,0.2927357407202129,0.7442515108323873,1.152,0.94,1.413,0.1728622200336916,0.9566288647243548,0.0011,False,"Go6976,SB-202190,Bosutinib (SKI-606)",BMS-754807,-0.1451,0.6932235040643979
A2_L1_0,A2,415,415,0,1.0,Prog-like,0.398,HSPC,0.716,19,False,0.711,-24.16,22.579,-11.762,-38.871,11.048,26.85,30.0,0.309,0.002,0.867,False,11.0,-0.9156,0.182,10.0,0.818,"RPLP0,LRRC75A-AS1,CDK6,RPL17,GAPDH",MSigDB_Hallmark_2020,Myc Targets V1,6.248203367794541e-06,7/200,,,True,True,True,HSPC,0.0,HIGH,0.124588167918483,0.6688663283741271,1.087,0.881,1.343,0.4357721568001438,0.9566288647243548,-0.0015,False,"NVP-AEW541,BRD-K84924563,SB-203580",Venetoclax,-0.2505,0.0001102122603528
A3_L1_5,A3,352,352,0,1.0,NK,0.52,,0.009,16,False,0.773,-23.416,26.731,-13.496,-41.187,11.197,30.0,30.0,0.043,0.008,0.528,False,9.0,2.0093,1.0,9.0,0.95,"CCL5,SYNE2,GZMA,GNLY,SYNE1",Reactome_2022,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,2.2470727375708362e-07,7/123,,,False,True,True,NK,0.0,HIGH,0.7197391819140597,0.8489231376422243,1.003,0.806,1.247,0.9815813532022049,0.982955145284546,-0.0021,False,"GSK-2879552,Ponatinib (AP24534),Cabozantinib",Ranolazine,-0.3419,0.166179139411859
A1_L1_8,A1,343,343,0,1.0,cDC-like,0.376,cDC,0.56,19,False,0.431,-20.331,25.258,9.154,-51.258,12.535,15.54,30.0,0.366,0.002,0.862,False,9.0,-0.2439,0.444,10.0,0.988,"HLA-DRA,HLA-DPA1,SAMHD1,NAPSB,FLT3",Reactome_2022,Immune System R-HSA-168256,1.3643147756604996e-07,20/1943,,,False,True,True,pDC,0.0,HIGH,0.0087921637520668,0.3769188652523726,1.31,1.039,1.652,0.0221887332814457,0.7609245694309079,0.0186,True,"PLX-4720,SB-203580,SB-202190",BMS-754807,-0.3366,0.2047603904684875
A2_L1_3,A2,334,334,0,1.0,Prog-like,0.237,HSPC,0.68,19,False,0.793,-22.155,22.744,-9.757,-38.515,11.953,18.13,30.0,0.403,0.003,0.875,False,10.0,-1.2536999999999998,0.1,10.0,0.988,"MALAT1,NEAT1,CDK6,FLT3,GUCY1A3",Reactome_2022,PD-1 Signaling R-HSA-389948,0.0041594015638566,2/21,,,False,False,True,CMP,0.0,MODERATE,0.8237774924724589,0.8921299954962588,0.932,0.757,1.149,0.5107720884842517,0.9566288647243548,0.0021,False,"Metformin,Go6976,AT-101",XMD 8-87,-0.2306,0.4326585508218557
