step,loss
0,30.24835205078125
1,29.52668571472168
2,29.833969116210938
3,29.864818572998047
4,29.836368560791016
5,29.75971794128418
6,30.136043548583984
7,29.751453399658203
8,29.898292541503906
9,29.87744903564453
10,29.939687728881836
11,29.827362060546875
12,30.680849075317383
13,29.67363739013672
14,29.677488327026367
15,29.924198150634766
16,29.771440505981445
17,29.895061492919922
18,29.601016998291016
19,30.165035247802734
20,30.16482162475586
21,30.273651123046875
22,29.719757080078125
23,29.97525405883789
24,30.023874282836914
25,29.69738006591797
26,29.581323623657227
27,29.999692916870117
28,29.853872299194336
29,30.080476760864258
30,29.580429077148438
31,30.09465789794922
32,29.56900978088379
33,29.685569763183594
34,29.969436645507812
35,30.039039611816406
36,29.572059631347656
37,30.180416107177734
38,29.883281707763672
39,29.651254653930664
40,29.95597267150879
41,30.388565063476562
42,29.38079071044922
43,29.441930770874023
44,29.4715518951416
45,29.30813217163086
46,29.34402847290039
47,29.76584243774414
48,29.373428344726562
49,29.91086769104004
50,29.976818084716797
51,29.73335838317871
52,29.91809844970703
53,29.40252685546875
54,29.514480590820312
55,29.37501335144043
56,29.571537017822266
57,29.295183181762695
58,29.515918731689453
59,29.433195114135742
60,29.1469669342041
61,29.496299743652344
62,29.534442901611328
63,29.381792068481445
64,29.279155731201172
65,28.862651824951172
66,29.136459350585938
67,29.449954986572266
68,29.288238525390625
69,29.18411636352539
70,29.2900390625
71,29.082454681396484
72,28.87832260131836
73,28.931671142578125
74,29.309173583984375
75,29.039291381835938
76,29.480609893798828
77,29.134803771972656
78,29.048660278320312
79,28.751205444335938
80,28.773929595947266
81,28.721351623535156
82,28.574058532714844
83,29.136337280273438
84,29.00129508972168
85,28.596546173095703
86,28.58234214782715
87,28.925918579101562
88,28.603282928466797
89,28.644725799560547
90,28.532150268554688
91,28.594051361083984
92,28.72472381591797
93,28.398143768310547
94,28.583984375
95,29.24907112121582
96,28.548505783081055
97,28.961772918701172
98,28.617464065551758
99,28.515796661376953
100,28.750652313232422
101,28.972753524780273
102,28.197097778320312
103,28.37236785888672
104,28.891277313232422
105,28.5944881439209
106,28.318483352661133
107,28.815345764160156
108,28.11273956298828
109,28.5704402923584
110,28.439306259155273
111,28.63724136352539
112,28.538944244384766
113,28.315914154052734
114,28.308879852294922
115,28.722810745239258
116,28.516361236572266
117,28.013446807861328
118,28.355571746826172
119,28.60997200012207
120,28.062034606933594
121,28.43073272705078
122,28.544721603393555
123,27.720745086669922
124,28.20595932006836
125,28.548559188842773
126,28.26805305480957
127,28.31573486328125
128,28.334980010986328
129,27.74231719970703
130,28.196563720703125
131,28.400434494018555
132,27.913928985595703
133,27.977100372314453
134,28.411388397216797
135,27.926761627197266
136,28.017675399780273
137,27.87262535095215
138,28.472911834716797
139,28.40351676940918
140,28.61003875732422
141,27.82772445678711
142,28.121868133544922
143,28.09130096435547
144,27.73880386352539
145,28.149581909179688
146,27.982219696044922
147,28.499921798706055
148,28.176090240478516
149,28.360511779785156
150,28.027610778808594
151,28.150087356567383
152,28.185958862304688
153,27.973468780517578
154,27.8702392578125
155,28.140403747558594
156,28.07558822631836
157,28.190502166748047
158,27.791255950927734
159,27.59695816040039
160,28.06389808654785
161,27.832275390625
162,27.921815872192383
163,28.114173889160156
164,28.085844039916992
165,28.12506866455078
166,28.01532745361328
167,27.830657958984375
168,27.9237117767334
169,27.830917358398438
170,27.885866165161133
171,28.079917907714844
172,27.80606460571289
173,28.038169860839844
174,27.916519165039062
175,27.85596466064453
176,27.673137664794922
177,28.078231811523438
178,27.748645782470703
179,28.086528778076172
180,27.608619689941406
181,27.678447723388672
182,28.130767822265625
183,27.565092086791992
184,27.946828842163086
185,27.488887786865234
186,27.76003646850586
187,27.776260375976562
188,27.740955352783203
189,27.47140121459961
190,27.932785034179688
191,27.77975845336914
192,27.61911964416504
193,27.950603485107422
194,28.044349670410156
195,27.60997772216797
196,27.581859588623047
197,27.799827575683594
198,27.609189987182617
199,27.951072692871094
200,27.57381820678711
201,27.7049617767334
202,27.70911407470703
203,27.925209045410156
204,27.970693588256836
205,27.655048370361328
206,28.047040939331055
207,27.731956481933594
208,28.175079345703125
209,27.618431091308594
210,27.793231964111328
211,27.846145629882812
212,27.47695541381836
213,27.96341323852539
214,27.681644439697266
215,27.810138702392578
216,27.885299682617188
217,27.673524856567383
218,27.499675750732422
219,27.645435333251953
220,27.710628509521484
221,27.713394165039062
222,27.79188346862793
223,27.729812622070312
224,27.110370635986328
225,27.97052001953125
226,27.655994415283203
227,27.713064193725586
228,27.548446655273438
229,27.670135498046875
230,27.38370132446289
231,27.285350799560547
232,27.423748016357422
233,27.950191497802734
234,27.309364318847656
235,27.489530563354492
236,27.65619659423828
237,27.298870086669922
238,28.361675262451172
239,27.308876037597656
240,27.48123550415039
241,28.058555603027344
242,27.48120880126953
243,27.848278045654297
244,27.630718231201172
245,27.640544891357422
246,27.789493560791016
247,27.75835609436035
248,27.865478515625
249,27.4224796295166
250,27.059432983398438
251,27.76858901977539
252,28.103675842285156
253,27.46454620361328
254,27.71728515625
255,27.549222946166992
256,27.431377410888672
257,27.68346405029297
258,27.342220306396484
259,27.423789978027344
260,27.50995635986328
261,27.447723388671875
262,27.73711395263672
263,27.742557525634766
264,27.39389991760254
265,27.40103530883789
266,27.328367233276367
267,27.58932876586914
268,27.698951721191406
269,27.9596004486084
270,27.298425674438477
271,27.80242919921875
272,27.07012367248535
273,27.504188537597656
274,27.926380157470703
275,27.4150447845459
276,28.039730072021484
277,27.30712890625
278,27.137184143066406
279,27.61153793334961
280,27.676027297973633
281,27.421138763427734
282,27.227073669433594
283,27.623945236206055
284,27.598094940185547
285,27.434999465942383
286,27.14169692993164
287,27.480987548828125
288,27.45305633544922
289,27.413623809814453
290,27.713106155395508
291,27.761228561401367
292,27.86394691467285
293,27.319747924804688
294,27.873077392578125
295,27.244707107543945
296,26.960067749023438
297,27.8828125
298,27.604042053222656
299,27.277698516845703
300,27.711589813232422
301,27.222618103027344
302,27.77398681640625
303,27.409503936767578
304,27.561098098754883
305,27.63652801513672
306,27.81802749633789
307,27.918689727783203
308,27.580856323242188
309,27.64120101928711
310,27.821605682373047
311,27.403440475463867
312,27.31592559814453
313,27.30078887939453
314,27.27076530456543
315,27.278526306152344
316,27.572607040405273
317,27.269580841064453
318,27.869770050048828
319,27.456819534301758
320,27.4733829498291
321,27.343685150146484
322,27.471782684326172
323,27.392566680908203
324,27.25830841064453
325,27.615507125854492
326,27.690603256225586
327,27.69777488708496
328,27.138273239135742
329,27.649024963378906
330,27.426050186157227
331,27.51114273071289
332,27.180694580078125
333,27.443038940429688
334,27.270856857299805
335,27.482892990112305
336,27.298261642456055
337,27.443077087402344
338,27.528491973876953
339,27.322309494018555
340,27.535446166992188
341,27.592350006103516
342,27.209609985351562
343,27.422958374023438
344,27.580215454101562
345,27.141315460205078
346,27.826522827148438
347,27.53214454650879
348,27.67099380493164
349,27.746009826660156
350,27.862333297729492
351,27.662126541137695
352,27.73358726501465
353,27.245939254760742
354,27.29831314086914
355,27.431121826171875
356,27.308677673339844
357,27.781017303466797
358,27.427227020263672
359,27.499656677246094
360,27.42728042602539
361,26.9426212310791
362,27.6630859375
363,27.678943634033203
364,27.277381896972656
365,27.63104820251465
366,27.071264266967773
367,27.6853084564209
368,27.82386016845703
369,27.331567764282227
370,27.783960342407227
371,27.125886917114258
372,27.381454467773438
373,27.26726722717285
374,27.65432357788086
375,27.13692283630371
376,27.306427001953125
377,27.365875244140625
378,27.061262130737305
379,27.749258041381836
380,27.58317756652832
381,27.81462860107422
382,27.60867691040039
383,27.241025924682617
384,27.130626678466797
385,27.255390167236328
386,26.86093521118164
387,27.277284622192383
388,26.909393310546875
389,26.663002014160156
390,26.749553680419922
391,27.375789642333984
392,27.462390899658203
393,27.851524353027344
394,26.857877731323242
395,27.417394638061523
396,27.29663848876953
397,27.20079231262207
398,27.21227264404297
399,26.744630813598633
400,27.641693115234375
401,27.17108726501465
402,27.199831008911133
403,27.17922019958496
404,27.189380645751953
405,27.40805435180664
406,27.2164306640625
407,27.437477111816406
408,27.526660919189453
409,27.760772705078125
410,27.11648941040039
411,27.750322341918945
412,27.311176300048828
413,26.91257095336914
414,27.046621322631836
415,27.431854248046875
416,26.852495193481445
417,27.14999771118164
418,27.23105812072754
419,27.27931785583496
420,27.09290885925293
421,27.775318145751953
422,27.37609100341797
423,27.425960540771484
424,27.302860260009766
425,26.923561096191406
426,27.113513946533203
427,27.330665588378906
428,27.516094207763672
429,27.14605712890625
430,27.51787567138672
431,27.03217315673828
432,27.11450958251953
433,26.787521362304688
434,27.138927459716797
435,27.38955307006836
436,27.54480743408203
437,27.70001983642578
438,27.196990966796875
439,27.357128143310547
440,26.82061004638672
441,27.410547256469727
442,27.092060089111328
443,26.956722259521484
444,27.40703010559082
445,27.19332504272461
446,27.493724822998047
447,27.305086135864258
448,27.014633178710938
449,27.698623657226562
450,27.277835845947266
451,26.890087127685547
452,27.332792282104492
453,27.064571380615234
454,26.99642562866211
455,27.179649353027344
456,27.411895751953125
457,27.212879180908203
458,27.339147567749023
459,27.51507568359375
460,27.26520347595215
461,26.909706115722656
462,26.980798721313477
463,26.750934600830078
464,26.994625091552734
465,27.356342315673828
466,27.41815948486328
467,27.58553695678711
468,27.30124282836914
469,27.024051666259766
470,27.525089263916016
471,27.088651657104492
472,27.125816345214844
473,27.617168426513672
474,26.992162704467773
475,27.080753326416016
476,27.1071834564209
477,26.90765380859375
478,27.047161102294922
479,27.328720092773438
480,26.872478485107422
481,27.05951690673828
482,27.51818084716797
483,26.87116241455078
484,27.0364990234375
485,26.96680450439453
486,27.26642608642578
487,26.968904495239258
488,27.749237060546875
489,26.98528289794922
490,27.666614532470703
491,27.169979095458984
492,27.0576171875
493,27.152442932128906
494,27.781034469604492
495,26.864194869995117
496,27.407516479492188
497,27.491884231567383
498,27.539669036865234
499,27.2249698638916
500,26.76079750061035
501,27.622825622558594
502,27.277084350585938
503,27.03006935119629
504,26.982959747314453
505,27.126380920410156
506,26.86670684814453
507,26.742080688476562
508,27.06485366821289
509,27.002391815185547
510,27.33717918395996
511,26.87077522277832
512,27.131759643554688
513,27.235252380371094
514,27.134624481201172
515,26.961477279663086
516,26.827320098876953
517,27.283382415771484
518,27.394880294799805
519,27.43616485595703
520,26.810787200927734
521,27.278959274291992
522,26.887020111083984
523,27.28721809387207
524,27.330995559692383
525,27.290979385375977
526,27.08316421508789
527,27.016660690307617
528,27.045686721801758
529,27.42263412475586
530,27.391014099121094
531,27.025882720947266
532,27.114295959472656
533,26.96851921081543
534,26.829496383666992
535,27.250598907470703
536,27.156173706054688
537,27.781055450439453
538,27.358570098876953
539,26.922542572021484
540,27.28615951538086
541,27.222023010253906
542,26.946361541748047
543,26.86365509033203
544,26.95563316345215
545,27.239234924316406
546,27.301250457763672
547,27.092004776000977
548,27.09300994873047
549,27.027360916137695
550,27.042476654052734
551,26.903404235839844
552,27.469512939453125
553,27.309799194335938
554,26.512252807617188
555,27.351863861083984
556,27.019445419311523
557,27.303653717041016
558,27.040035247802734
559,27.053030014038086
560,27.395038604736328
561,26.60095977783203
562,27.305574417114258
563,26.910655975341797
564,27.375350952148438
565,26.8281192779541
566,27.078250885009766
567,26.509279251098633
568,26.810060501098633
569,26.92848777770996
570,26.998146057128906
571,27.274965286254883
572,27.219112396240234
573,27.336721420288086
574,27.05220603942871
575,27.077068328857422
576,27.136823654174805
577,26.6439151763916
578,26.6861515045166
579,27.09332275390625
580,27.264591217041016
581,26.866943359375
582,26.55597686767578
583,27.039838790893555
584,26.977888107299805
585,26.948266983032227
586,27.200511932373047
587,26.86441421508789
588,26.654048919677734
589,27.465160369873047
590,27.171772003173828
591,27.687973022460938
592,26.708168029785156
593,26.87869644165039
594,27.022586822509766
595,26.875701904296875
596,27.049179077148438
597,27.03805923461914
598,26.452924728393555
599,27.237810134887695
600,26.992538452148438
601,27.07392120361328
602,27.226478576660156
603,27.11923599243164
604,26.93985366821289
605,26.512939453125
606,27.02941131591797
607,27.16914939880371
608,27.17902946472168
609,26.71185874938965
610,27.149227142333984
611,27.246856689453125
612,26.56719398498535
613,27.063766479492188
614,27.1278076171875
615,27.100635528564453
616,26.995914459228516
617,27.017187118530273
618,26.767921447753906
619,26.65571403503418
620,27.064075469970703
621,27.025691986083984
622,26.927501678466797
623,27.04718780517578
624,26.945146560668945
625,26.77692413330078
626,26.724834442138672
627,27.103313446044922
628,27.261734008789062
629,26.62047004699707
630,27.062746047973633
631,26.767234802246094
632,26.947410583496094
633,27.348779678344727
634,27.32114601135254
635,27.0
636,27.177589416503906
637,27.090431213378906
638,27.380136489868164
639,27.066478729248047
640,27.212169647216797
641,26.826255798339844
642,26.672033309936523
643,27.31468391418457
644,27.218460083007812
645,26.816198348999023
646,26.94076156616211
647,27.094863891601562
648,26.976276397705078
649,26.84345817565918
650,27.082305908203125
651,26.790897369384766
652,26.700044631958008
653,26.870079040527344
654,27.011783599853516
655,26.44432258605957
656,26.735065460205078
657,27.34177589416504
658,26.466798782348633
659,27.110191345214844
660,26.714588165283203
661,26.331480026245117
662,26.973190307617188
663,26.807971954345703
664,27.24151039123535
665,26.699390411376953
666,26.59084129333496
667,27.037033081054688
668,27.193445205688477
669,27.04917335510254
670,27.17165184020996
671,26.673789978027344
672,27.111051559448242
673,26.780532836914062
674,26.818330764770508
675,26.997554779052734
676,26.833271026611328
677,26.933570861816406
678,27.144960403442383
679,27.258079528808594
680,27.262592315673828
681,26.664316177368164
682,27.047609329223633
683,26.67257308959961
684,26.601844787597656
685,26.81919288635254
686,27.28246307373047
687,27.173072814941406
688,26.616939544677734
689,26.864940643310547
690,26.671695709228516
691,26.85708236694336
692,27.009090423583984
693,26.72903060913086
694,27.0432186126709
695,26.518325805664062
696,27.125354766845703
697,26.789417266845703
698,26.875164031982422
699,26.869407653808594
700,27.057201385498047
701,26.93021583557129
702,26.961912155151367
703,27.23126792907715
704,27.52328872680664
705,26.440332412719727
706,26.931507110595703
707,26.93345069885254
708,26.774425506591797
709,26.822580337524414
710,27.060138702392578
711,26.835342407226562
712,27.118074417114258
713,27.502290725708008
714,26.868648529052734
715,26.841976165771484
716,27.200111389160156
717,27.10976219177246
718,26.68451690673828
719,26.801118850708008
720,27.042280197143555
721,26.792919158935547
722,26.281644821166992
723,26.931407928466797
724,26.800941467285156
725,27.045257568359375
726,26.947511672973633
727,26.927892684936523
728,27.32186508178711
729,26.897964477539062
730,26.452165603637695
731,27.077537536621094
732,26.858993530273438
733,26.79364013671875
734,26.751455307006836
735,26.4364013671875
736,27.07253646850586
737,26.94316291809082
738,26.66231918334961
739,26.77025032043457
740,26.884506225585938
741,27.251235961914062
742,26.5648250579834
743,27.043258666992188
744,26.67266082763672
745,26.81424903869629
746,27.21959686279297
747,26.829833984375
748,26.688264846801758
749,26.30310821533203
750,26.925031661987305
751,26.875646591186523
752,27.119548797607422
753,27.432048797607422
754,26.727218627929688
755,26.45545196533203
756,26.513694763183594
757,26.784650802612305
758,26.98253059387207
759,27.264904022216797
760,26.73907470703125
761,26.977163314819336
762,26.856185913085938
763,26.55443572998047
764,26.845355987548828
765,26.56670379638672
766,26.777751922607422
767,26.283100128173828
768,26.88823127746582
769,26.7007999420166
770,26.279817581176758
771,26.691368103027344
772,26.69995880126953
773,26.81403160095215
774,26.83850860595703
775,26.841297149658203
776,26.702123641967773
777,27.406797409057617
778,27.356605529785156
779,26.541980743408203
780,26.86800765991211
781,26.925498962402344
782,26.793582916259766
783,26.85593605041504
784,26.764253616333008
785,26.83226776123047
786,27.21946144104004
787,27.07499122619629
788,26.580856323242188
789,26.441436767578125
790,26.245800018310547
791,26.62619400024414
792,26.626745223999023
793,27.06048011779785
794,26.790180206298828
795,26.38156509399414
796,26.781108856201172
797,26.93319320678711
798,26.560054779052734
799,27.142772674560547
800,26.492069244384766
801,26.891281127929688
802,26.305065155029297
803,26.263099670410156
804,26.98392105102539
805,26.333702087402344
806,26.898923873901367
807,26.83840560913086
808,26.58211326599121
809,26.853023529052734
810,27.254077911376953
811,26.78004264831543
812,26.834571838378906
813,26.98609161376953
814,26.754880905151367
815,26.652877807617188
816,26.66612434387207
817,26.609527587890625
818,26.689273834228516
819,26.704387664794922
820,26.52477264404297
821,26.482086181640625
822,26.54851531982422
823,26.959659576416016
824,26.78176498413086
825,26.530776977539062
826,26.55606460571289
827,26.688953399658203
828,26.789649963378906
829,26.593948364257812
830,26.79325294494629
831,26.676177978515625
832,26.58835220336914
833,26.9243106842041
834,26.5797061920166
835,26.60208511352539
836,26.514673233032227
837,26.969894409179688
838,26.569583892822266
839,25.938709259033203
840,26.903472900390625
841,26.805681228637695
842,26.843050003051758
843,26.282957077026367
844,26.82659149169922
845,26.771038055419922
846,27.07543182373047
847,26.422527313232422
848,26.955625534057617
849,27.260982513427734
850,26.527414321899414
851,26.46538543701172
852,26.238182067871094
853,26.63994598388672
854,26.61672019958496
855,27.065847396850586
856,26.34307098388672
857,26.35120964050293
858,26.490121841430664
859,26.250425338745117
860,26.144264221191406
861,27.016897201538086
862,26.727102279663086
863,26.827272415161133
864,26.652576446533203
865,26.459693908691406
866,26.58435821533203
867,26.483123779296875
868,26.61396026611328
869,26.926435470581055
870,26.7802677154541
871,26.680681228637695
872,26.529264450073242
873,26.596731185913086
874,26.81759262084961
875,26.107650756835938
876,26.41065788269043
877,26.792373657226562
878,26.287399291992188
879,27.012155532836914
880,26.69835090637207
881,26.392223358154297
882,26.682676315307617
883,26.949365615844727
884,26.949230194091797
885,26.654918670654297
886,26.15902328491211
887,26.142478942871094
888,26.75455665588379
889,26.74984359741211
890,26.815542221069336
891,26.657718658447266
892,26.617652893066406
893,26.704906463623047
894,26.48431968688965
895,26.542613983154297
896,26.68010711669922
897,26.912220001220703
898,26.240970611572266
899,26.354145050048828
900,26.89099884033203
901,26.864654541015625
902,26.490032196044922
903,26.666322708129883
904,26.66802215576172
905,26.44780731201172
906,26.45016098022461
907,26.661518096923828
908,26.271223068237305
909,26.43747329711914
910,26.3990478515625
911,26.471471786499023
912,26.65275001525879
913,26.59548568725586
914,26.517959594726562
915,26.511594772338867
916,26.27397346496582
917,26.416950225830078
918,26.971235275268555
919,26.273399353027344
920,26.67781639099121
921,26.64346694946289
922,26.93166732788086
923,27.05252456665039
924,26.129230499267578
925,26.32440185546875
926,26.524606704711914
927,26.69961166381836
928,26.362258911132812
929,26.772876739501953
930,26.511375427246094
931,26.69937515258789
932,26.78081703186035
933,26.72995376586914
934,26.18339729309082
935,26.606740951538086
936,26.595806121826172
937,26.4388484954834
938,26.682586669921875
939,26.67217445373535
940,26.786577224731445
941,26.42140007019043
942,26.308269500732422
943,26.453269958496094
944,26.603076934814453
945,26.049440383911133
946,26.538890838623047
947,26.019960403442383
948,26.548845291137695
949,26.718093872070312
950,26.499065399169922
951,26.37701416015625
952,26.382164001464844
953,26.278953552246094
954,26.222637176513672
955,26.486858367919922
956,26.39330291748047
957,26.87543487548828
958,26.48474884033203
959,26.243614196777344
960,26.403533935546875
961,26.140100479125977
962,26.286897659301758
963,26.628543853759766
964,26.285308837890625
965,26.728347778320312
966,25.77257537841797
967,26.377107620239258
968,26.37055778503418
969,26.278392791748047
970,26.44915771484375
971,26.301963806152344
972,26.824216842651367
973,26.284334182739258
974,26.231691360473633
975,26.44116973876953
976,26.54607582092285
977,26.654939651489258
978,26.156532287597656
979,26.238872528076172
980,26.383258819580078
981,26.193063735961914
982,26.516468048095703
983,26.561796188354492
984,26.252317428588867
985,26.59111785888672
986,26.672828674316406
987,26.253726959228516
988,26.14989471435547
989,26.342632293701172
990,26.523799896240234
991,26.375812530517578
992,26.39002227783203
993,25.7515869140625
994,26.092008590698242
995,26.21645736694336
996,26.11919593811035
