from,to,barrier_i_to_j,barrier_j_to_i,phi_start,phi_end,phi_max,saddle_node,path_length
A0,A1,24.267749786376953,25.976348876953125,-27.77589988708496,-29.484498977661133,-3.5081498622894287,1,29.624004364013672
A0,A2,21.697093963623047,6.319154262542725,-27.77589988708496,-12.39795970916748,-6.078805446624756,9,25.348102569580078
A0,A3,17.856597900390625,0.0,-27.77589988708496,-9.919302940368652,-9.919302940368652,19,23.76580047607422
A1,A2,20.477535247802734,3.390995979309082,-29.484498977661133,-12.39795970916748,-9.006963729858398,5,19.87201690673828
A1,A3,21.53373146057129,1.9685359001159668,-29.484498977661133,-9.919302940368652,-7.9507670402526855,12,21.759441375732422
A2,A3,5.338898181915283,2.860241413116455,-12.39795970916748,-9.919302940368652,-7.059061527252197,12,23.751632690429688
